country,facility_id,act_a,admin1,admin2,adultscale_a,amoxicillin1_a,aspirin_a,bcg_vac,childscale_a,cotrimoxazole3_a,does_vaccines,dpt_vac,extencilline_a,eyescope_a,facility_level,facmobile_a,glucometer_a,glucose_a,has_facility,indmobile1_a,ipw,measles_vac,mebendazole_a,metronidazole_a,microscope_a,num_med,num_nonmed,obstetric_a,ors_a,paracetamol3_a,pentavalent_vac,pharm_records,phone_a,polio_vac,procaine_a,publicprivate,quinine_a,ringers_a,ruralurban,saline_a,sphgmeter_a,stethoscope_a,tetanus_vac,tetracycline_a,thermometer_a,vaccine_store1,yellowfev_vac
Senegal-2010,57,At least one observed (not expired),10,37,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),No,Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,No,4.1722074,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,Not available today
Senegal-2010,58,At least one observed (not expired),5,17,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),11.863829,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,59,At least one observed (not expired),8,29,Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),18.727528,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,60,At least one observed (not expired),2,5,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),4.2759876,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),Not available today,Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,61,At least one observed (not expired),1,4,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),5.420559,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,11-50,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,62,At least one observed (not expired),1,4,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),Not available today,No,Health Center,Yes (Observed),No,Not available today,1,No,5.420559,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Not available today,Public,Not available today,Not available today,Urban,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,63,At least one observed (not expired),8,27,Yes (Observed),At least one observed (not expired),Not available today,Not available today,Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,10.629767,Not available today,At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,64,Not available today,1,4,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,Not available today,1,Yes (Observed),5.420559,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),Not available today,Urban,Not available today,Yes (Observed),Yes (Observed),Not available today,Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,65,At least one observed (not expired),5,18,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Health Center,No,No,At least one observed (not expired),1,Yes (Observed),14.00322,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,66,At least one observed (not expired),4,14,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,17.662157,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,67,At least one observed (not expired),3,8,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),5.8988733,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,Never available,At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,68,Not available today,5,17,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),6.934945,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Not available today,Not available today,At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,69,At least one observed (not expired),4,16,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),5.8721647,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,70,At least one observed (not expired),8,29,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),11.252437,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,Never available,At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),Not available today,Never available,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,71,At least one observed (not expired),6,22,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),14.945359,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,72,At least one observed (not expired),2,5,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Health Center,No,No,At least one observed (not expired),1,No,4.2759876,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Not available today,At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),Not available today,Public,Not available today,At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,73,At least one observed (not expired),8,27,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,No,33.799633,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,Never available,At least one observed (not expired),Urban,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,74,Never available,1,1,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,Never available,1,No,4.428247,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),Never available,Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,75,Not available today,1,4,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,5.420559,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Never available,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,76,At least one observed (not expired),1,3,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,4.118316,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,11-50,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,77,At least one observed (not expired),10,37,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),4.1722074,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,78,At least one observed (not expired),2,6,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,No,15.538471,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,79,At least one observed (not expired),10,37,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,4.1722074,At least one observed (not expired),Not available today,At least one observed (not expired),No,11-50,5 or less,No,Not available today,Not available today,At least one observed (not expired),Yes,No,At least one observed (not expired),Not available today,Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,80,Never available,1,4,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Never available,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,Never available,1,No,5.420559,At least one observed (not expired),At least one observed (not expired),Never available,No,5 or less,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),Never available,Public,Never available,At least one observed (not expired),Urban,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,81,At least one observed (not expired),1,2,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Health Center,No,Yes,At least one observed (not expired),1,No,3.6781507,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),Never available,Urban,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,82,At least one observed (not expired),10,33,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),10.268479,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),Not available today,Rural,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,83,At least one observed (not expired),4,15,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),Not available today,No,Health Center,Yes (Observed),No,At least one observed (not expired),1,No,9.083515,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,11-50,Over 5,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,84,Not available today,5,19,Yes (Observed),At least one observed (not expired),Never available,Not available today,Yes (Observed),At least one observed (not expired),Yes,Not available today,At least one observed (not expired),Yes (Observed),Health Center,No,No,At least one observed (not expired),1,Yes (Observed),7.144275,Not available today,At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Not available today,Yes,No,Not available today,Not available today,Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),Yes (Observed),Yes,Not available today
Senegal-2010,85,At least one observed (not expired),10,36,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,No,29.602823,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),6-10,5 or less,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,86,At least one observed (not expired),2,5,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Not available today,Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),4.2759876,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,87,At least one observed (not expired),1,3,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),4.118316,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,11-50,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Not available today,Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,88,At least one observed (not expired),1,4,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,5.420559,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,89,Not available today,1,4,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,Never available,1,Yes (Observed),5.420559,At least one observed (not expired),Not available today,At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,Never available,Never available,Urban,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,90,At least one observed (not expired),6,23,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),Not available today,No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),5.210792,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,91,At least one observed (not expired),5,19,Yes (Observed),At least one observed (not expired),Never available,Not available today,Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),7.144275,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Not available today,Public,At least one observed (not expired),At least one observed (not expired),Rural,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,92,At least one observed (not expired),4,13,Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Health Center,No,Yes,At least one observed (not expired),1,No,11.242344,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,93,At least one observed (not expired),1,3,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),No,At least one observed (not expired),1,No,4.118316,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,11-50,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),No,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,Not available today
Senegal-2010,94,At least one observed (not expired),3,10,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,14.695792,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,No,Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Not available today,Public,At least one observed (not expired),Not available today,Rural,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,95,At least one observed (not expired),4,14,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Health Center,Yes (Observed),No,At least one observed (not expired),1,No,17.662157,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,96,At least one observed (not expired),8,29,No,At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,Not available today,1,Yes (Observed),18.727528,At least one observed (not expired),At least one observed (not expired),Not available today,Yes (Observed),5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,Never available,Not available today,Rural,At least one observed (not expired),No,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,97,At least one observed (not expired),2,7,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,15.088686,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,11-50,5 or less,No,Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,98,At least one observed (not expired),4,16,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),5.8721647,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Yes (Observed),Yes,At least one observed (not expired)
