country,facility_id,act_a,admin1,admin2,adultscale_b,amoxicillin3_a,ampicillin2_a,ampicillin_a,artesunate_a,autoclave_a,autoclave_b,azithromycin_a,bcg_vac,benzathine_a,benzylpenicillin_a,calgluc_a,cefixime_a,ceftriaxone2_a,childscale_a,childscale_b,depo_a,dryheat_a,dryheat_b,faccomputer_b,facility_level,facmobile_b,folic_a,gentamycin2_a,gentamycin_a,has_autosyringe,has_dispsyringe,has_facility,has_fridge,has_gloves,has_icepacks,has_mcondoms,has_sharps,has_vaccarrier,has_weights,indmobile1_b,infantscale_a,infantscale_b,internet_b,ipw,irona_a,magsulf_a,measles_vac,methasone_a,metronidazole_a,misoprostol_a,nacl_a,nifedipine2_a,nonelectric_a,nonelectric_b,num_births,num_outpatient,ors_a,oxytocin_a,pentavalent_vac,phone_b,pneumococ_vac,polio_vac,publicprivate,radio_b,ruralurban,sphgmeter_a,sphgmeter_b,steamer_a,steamer_b,stethoscope_a,stethoscope_b,thermometer_a,thermometer_b,vaccine_store1,vaccine_store2,vitamina_a,zinctabs_a
Kenya-2012,11538,At least one observed (not expired),2,7,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Health Center,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,No,,No,6.0982456,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),At least one observed (not expired),No,,50 or less,1001-2000,At least one observed (not expired),Never available,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),Never available
Kenya-2012,11553,Not available today,2,3,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),Yes (Observed),Yes (Observed),Yes (Observed),Health Post,Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,8.140515,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,50 or less,1001-2000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11566,At least one observed (not expired),2,3,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Yes (Observed),Yes (Observed),Yes (Observed),Hospital,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),10.175644,Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Not available today,No,,Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11573,Not available today,2,7,Yes (Observed),At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),Never available,No,,No,Hospital,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,6.0982456,At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Over 50,1001-2000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,Yes,Not available today,Not available today
Kenya-2012,11580,At least one observed (not expired),2,3,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),Yes (Observed),Yes (Observed),No,Health Center,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,8.140515,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11600,At least one observed (not expired),2,7,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),Never available,No,,Yes (Observed),Hospital,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),18.294737,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),No,,Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Private,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,Yes,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11609,At least one observed (not expired),2,3,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (not expired),No,,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,No,Health Post,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,56.983604,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,1001-2000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11614,At least one observed (not expired),2,7,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Never available,No,,Yes (Observed),Health Post,Yes (Observed),At least one observed (not expired),Never available,Never available,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),6.0982456,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Never available,No,,50 or less,Over 3000,At least one observed (not expired),Never available,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11640,At least one observed (not expired),2,7,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Not available today,Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Not available today,No,,At least one observed (not expired),No,,Yes (Observed),Health Post,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,,Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,No,,No,16.770174,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),No,,50 or less,501-1000,At least one observed (not expired),At least one observed (not expired),Never available,Yes (Observed),Never available,Never available,Public,No,Urban,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,Not available today,At least one observed (not expired)
Kenya-2012,11645,At least one observed (not expired),2,7,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),Never available,No,,No,Health Post,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,6.0982456,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),Over 50,2001-3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11654,At least one observed (not expired),2,3,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Yes (Observed),Yes (Observed),No,Health Post,Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,8.140515,At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Not available today,At least one observed (not expired),No,,50 or less,501-1000,At least one observed (not expired),Not available today,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11677,At least one observed (not expired),2,3,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Yes (Observed),Yes (Observed),Yes (Observed),Health Center,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,8.140515,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Never available,No,,50 or less,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),Not available today,Public,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),Never available
Kenya-2012,11697,At least one observed (not expired),2,7,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),No,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,No,Health Center,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,No,,No,115.86666,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,Not available today,At least one observed (not expired),No,,50 or less,1001-2000,At least one observed (not expired),Never available,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,Not available today,Never available
Kenya-2012,11723,At least one observed (not expired),2,7,Yes (Observed),Not available today,Not available today,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),Not available today,Not available today,Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),Yes (Observed),No,No,Health Post,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,16.770174,At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Yes (Observed),No,50 or less,1001-2000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Urban,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,Yes,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11740,At least one observed (not expired),2,7,Yes (Observed),At least one observed (not expired),Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Yes (Observed),Yes (Observed),Yes (Observed),Hospital,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),9.147368,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),No,,Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,Not available today,At least one observed (not expired)
Kenya-2012,11753,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,8.140515,,,,,,,,,,,,,,,,,,,,,Rural,,,,,,,,,,,,
Kenya-2012,11758,At least one observed (not expired),2,3,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),No,Never available,At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,No,Health Post,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,227.93442,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,50 or less,1001-2000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11818,At least one observed (not expired),2,3,Yes (Observed),At least one observed (not expired),Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,Not available today,Yes (Observed),Yes (Observed),Not available today,No,,Yes (Observed),Hospital,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),8.140515,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,No,,Over 50,2001-3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11831,At least one observed (not expired),2,7,Yes (Observed),Not available today,Never available,Never available,Never available,No,,Never available,Never available,Not available today,At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Health Post,Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),Yes (Not Observed),Yes (Observed),1,,Yes,No,Yes,Yes (Observed),No,1,Yes (Observed),No,,Yes (Observed),16.770174,Never available,Not available today,Never available,Not available today,Not available today,Never available,At least one observed (not expired),Not available today,No,,50 or less,501-1000,At least one observed (not expired),At least one observed (all expired),Never available,No,Never available,Never available,Public,No,Urban,Yes (Observed),Yes (Observed),Yes (Observed),No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11861,At least one observed (not expired),2,7,Yes (Observed),At least one observed (not expired),Not available today,Not available today,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Hospital,Yes (Observed),At least one observed (not expired),Not available today,Not available today,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),6.0982456,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),No,,Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,Yes (Observed),Urban,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11881,At least one observed (not expired),2,3,Yes (Observed),Not available today,Never available,Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Health Center,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),8.140515,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11961,At least one observed (not expired),3,6,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),No,,Never available,No,,No,Health Post,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,6.362621,At least one observed (not expired),Never available,At least one observed (not expired),Not available today,Never available,Never available,Never available,At least one observed (not expired),No,,50 or less,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,11962,At least one observed (not expired),3,6,Yes (Observed),At least one observed (not expired),Not available today,Never available,Never available,No,,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Never available,No,,No,Health Post,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,6.362621,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),At least one observed (not expired),No,,50 or less,501-1000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,12018,At least one observed (not expired),3,6,Yes (Observed),At least one observed (not expired),Not available today,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Never available,Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),No,,No,Hospital,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),No,Yes (Observed),1,,Yes,No,No,Yes (Observed),No,1,Yes (Observed),Yes (Observed),Yes (Observed),No,6.0277452,At least one observed (not expired),Not available today,Never available,Not available today,At least one observed (not expired),Never available,Not available today,Not available today,No,,50 or less,0-500,At least one observed (not expired),At least one observed (not expired),Never available,No,Never available,Never available,Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,Not available today,At least one observed (not expired)
Kenya-2012,12150,At least one observed (not expired),3,6,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Not available today,No,,No,Health Center,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,6.697495,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,50 or less,2001-3000,Not available today,At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,12191,At least one observed (not expired),3,6,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,No,Health Center,Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,6.697495,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,1001-2000,At least one observed (not expired),Not available today,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,12207,At least one observed (not expired),3,6,Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,No,,Yes (Observed),Health Center,Yes (Observed),Not available today,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,2.0092485,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Not available today,Never available,At least one observed (not expired),Never available,No,,50 or less,0-500,At least one observed (not expired),Not available today,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,12236,At least one observed (not expired),3,6,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,No,,At least one observed (not expired),Yes (Observed),Yes (Observed),No,Health Center,Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,6.697495,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Never available,No,,50 or less,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes,No,At least one observed (not expired),At least one observed (not expired)
