survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_other1,absent_other2,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_med,num_nonmed,num_staff,provider_activity,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ1,provider_educ2,provider_male1,provider_male2,provider_mededuc1,provider_mededuc2,provider_present1,provider_present2,salary_delay,year_started
Madagascar-2016_21_7,Madagascar-2016,21_7,21,7,0.11111111,,,On-call,,1.0,1.0,No,6-10,5 or less,11-50,Looking for information or teaching,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_21_4,Madagascar-2016,21_4,21,4,0.11111111,,,On-call,,1.0,1.0,No,6-10,5 or less,11-50,Looking for information or teaching,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_21_6,Madagascar-2016,21_6,21,6,0.11111111,,,,,1.0,1.0,No,6-10,5 or less,11-50,Looking for information or teaching,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_21_2,Madagascar-2016,21_2,21,2,0.11111111,,,,,1.0,1.0,Yes,6-10,5 or less,11-50,Discussion with colleagues or staff meeting,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_21_3,Madagascar-2016,21_3,21,3,0.11111111,,,,,1.0,1.0,No,6-10,5 or less,11-50,With patient,25-34,25-34,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_21_5,Madagascar-2016,21_5,21,5,0.11111111,,,On-call,,1.0,1.0,No,6-10,5 or less,11-50,Discussion with colleagues or staff meeting,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_21_.,Madagascar-2016,21_.,21,.,0.11111111,,,,,,,,6-10,5 or less,11-50,,,,Other,,,,Male,,,,,,,
Madagascar-2016_210_1,Madagascar-2016,210_1,210,1,0.5,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_210_2,Madagascar-2016,210_2,210,2,0.5,,,,Unauthorized absence,1.0,1.0,No,5 or less,5 or less,5 or less,,Younger than 25,Younger than 25,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,No,,
Madagascar-2016_211_1,Madagascar-2016,211_1,211,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Discussion with colleagues or staff meeting,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_211_2,Madagascar-2016,211_2,211,2,0.0,,,Official mission,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Paperwork,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_212_2,Madagascar-2016,212_2,212,2,0.0,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,Paperwork,35-44,35-44,Other,Other,Secondary,Secondary,Female,Female,None,None,Yes,Yes,Yes,After 2000
Madagascar-2016_212_1,Madagascar-2016,212_1,212,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Paperwork,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_213_4,Madagascar-2016,213_4,213,4,0.5,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,Discussion with colleagues or staff meeting,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,None,None,Yes,Yes,Yes,After 2000
Madagascar-2016_213_3,Madagascar-2016,213_3,213,3,0.5,,,,Authorized absence,1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_213_1,Madagascar-2016,213_1,213,1,0.5,,,"Training, seminar or meeting",Authorized absence,1.0,1.0,Yes,5 or less,5 or less,5 or less,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,No,,
Madagascar-2016_213_2,Madagascar-2016,213_2,213,2,0.5,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Paperwork,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_214_4,Madagascar-2016,214_4,214,4,0.0,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,With patient,Younger than 25,Younger than 25,Other,Other,Secondary,Secondary,Female,Female,None,None,Yes,Yes,No,After 2000
Madagascar-2016_214_3,Madagascar-2016,214_3,214,3,0.0,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,Paperwork,35-44,35-44,Other,Other,Secondary,Secondary,Male,Male,None,None,Yes,Yes,No,After 2000
Madagascar-2016_214_1,Madagascar-2016,214_1,214,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_214_2,Madagascar-2016,214_2,214,2,0.0,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,99.0,35-44,35-44,Other,Other,Secondary,Secondary,Male,Male,None,None,Yes,Yes,No,After 2000
Madagascar-2016_215_1,Madagascar-2016,215_1,215,1,0.33333334,,,"Training, seminar or meeting",Authorized absence,1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,No,No,,
Madagascar-2016_215_3,Madagascar-2016,215_3,215,3,0.33333334,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,Paperwork,35-44,35-44,Other,Other,Secondary,Secondary,Female,Female,None,None,Yes,Yes,Yes,After 2000
Madagascar-2016_215_2,Madagascar-2016,215_2,215,2,0.33333334,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_216_1,Madagascar-2016,216_1,216,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,In the 1990s
Madagascar-2016_217_1,Madagascar-2016,217_1,217,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_218_1,Madagascar-2016,218_1,218,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Paperwork,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,Yes,After 2000
Madagascar-2016_219_1,Madagascar-2016,219_1,219,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_219_2,Madagascar-2016,219_2,219,2,0.0,,,,,,1.0,No,5 or less,5 or less,5 or less,,25-34,,Other,,Secondary,,Female,,None,,Yes,,,
Madagascar-2016_22_2,Madagascar-2016,22_2,22,2,0.0,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_22_1,Madagascar-2016,22_1,22,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_220_2,Madagascar-2016,220_2,220,2,0.42857143,,,"Training, seminar or meeting",Official mission,1.0,1.0,Yes,6-10,5 or less,6-10,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,No,,
Madagascar-2016_220_6,Madagascar-2016,220_6,220,6,0.42857143,,,Authorized absence,On-call,1.0,1.0,No,6-10,5 or less,6-10,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,No,,
Madagascar-2016_220_7,Madagascar-2016,220_7,220,7,0.42857143,,,,,1.0,1.0,No,6-10,5 or less,6-10,99.0,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_220_1,Madagascar-2016,220_1,220,1,0.42857143,,,,,1.0,1.0,Yes,6-10,5 or less,6-10,With patient,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_220_3,Madagascar-2016,220_3,220,3,0.42857143,,,,,1.0,1.0,No,6-10,5 or less,6-10,Discussion with colleagues or staff meeting,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_220_5,Madagascar-2016,220_5,220,5,0.42857143,,,,,1.0,1.0,No,6-10,5 or less,6-10,Discussion with colleagues or staff meeting,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_220_4,Madagascar-2016,220_4,220,4,0.42857143,,,Authorized absence,On-call,1.0,1.0,No,6-10,5 or less,6-10,,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,No,,
Madagascar-2016_221_2,Madagascar-2016,221_2,221,2,1.0,,,,Other,1.0,1.0,No,5 or less,5 or less,5 or less,,45 or older,45 or older,Other,Other,Primary,Primary,Male,Male,None,None,Yes,No,,
Madagascar-2016_221_1,Madagascar-2016,221_1,221,1,1.0,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,No,,
Madagascar-2016_222_2,Madagascar-2016,222_2,222,2,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Paperwork,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_222_3,Madagascar-2016,222_3,222,3,0.0,,,Authorized absence,,,1.0,No,5 or less,5 or less,5 or less,,45 or older,,Other,,Secondary,,Female,,Certificate,,No,,,
Madagascar-2016_222_1,Madagascar-2016,222_1,222,1,0.0,,,"Training, seminar or meeting",,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,Yes,No,After 2000
Madagascar-2016_223_1,Madagascar-2016,223_1,223,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,99.0,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_224_3,Madagascar-2016,224_3,224,3,0.0,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,Discussion with colleagues or staff meeting,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Madagascar-2016_224_2,Madagascar-2016,224_2,224,2,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Discussion with colleagues or staff meeting,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_224_1,Madagascar-2016,224_1,224,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Paperwork,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_225_2,Madagascar-2016,225_2,225,2,1.0,,,,Other,1.0,1.0,No,5 or less,5 or less,5 or less,,45 or older,45 or older,Other,Other,Post-Secondary,Post-Secondary,Female,Female,,,Yes,No,,
Madagascar-2016_225_1,Madagascar-2016,225_1,225,1,1.0,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_226_2,Madagascar-2016,226_2,226,2,0.5,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,99.0,45 or older,45 or older,Other,Other,Secondary,Secondary,Female,Female,None,None,Yes,Yes,Yes,In the 1990s
Madagascar-2016_226_1,Madagascar-2016,226_1,226,1,0.5,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,No,,
Madagascar-2016_227_1,Madagascar-2016,227_1,227,1,1.0,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,Younger than 25,Younger than 25,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_227_2,Madagascar-2016,227_2,227,2,1.0,,,,Other,1.0,1.0,No,5 or less,5 or less,5 or less,,45 or older,45 or older,Other,Other,Secondary,Secondary,Female,Female,None,None,Yes,No,,
Madagascar-2016_228_1,Madagascar-2016,228_1,228,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_228_2,Madagascar-2016,228_2,228,2,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Discussion with colleagues or staff meeting,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_228_3,Madagascar-2016,228_3,228,3,0.0,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,Discussion with colleagues or staff meeting,45 or older,45 or older,Other,Other,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,Yes,Yes,In the 1990s
Madagascar-2016_229_2,Madagascar-2016,229_2,229,2,1.0,,,,Other,1.0,1.0,No,5 or less,5 or less,5 or less,,35-44,35-44,Other,Other,Post-Secondary,Post-Secondary,Female,Female,None,None,Yes,No,,
Madagascar-2016_229_1,Madagascar-2016,229_1,229,1,1.0,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_23_2,Madagascar-2016,23_2,23,2,0.5,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,Younger than 25,Younger than 25,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_23_1,Madagascar-2016,23_1,23,1,0.5,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_230_2,Madagascar-2016,230_2,230,2,1.0,,,,Other,1.0,1.0,No,5 or less,5 or less,5 or less,,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,None,None,Yes,No,,
Madagascar-2016_230_1,Madagascar-2016,230_1,230,1,1.0,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_231_2,Madagascar-2016,231_2,231,2,0.0,,,Official mission,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_231_3,Madagascar-2016,231_3,231,3,0.0,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,99.0,45 or older,45 or older,Other,Other,Post-Secondary,Post-Secondary,Male,Male,Certificate,Certificate,Yes,Yes,Yes,In the 1990s
Madagascar-2016_231_1,Madagascar-2016,231_1,231,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Paperwork,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_232_2,Madagascar-2016,232_2,232,2,0.0,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,99.0,45 or older,45 or older,Other,Other,Secondary,Secondary,Female,Female,None,None,Yes,Yes,Yes,In the 1990s
Madagascar-2016_232_1,Madagascar-2016,232_1,232,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_233_16,Madagascar-2016,233_16,233,16,0.6,,,,,,1.0,No,11-50,Over 5,11-50,,35-44,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_233_5,Madagascar-2016,233_5,233,5,0.6,,,"Training, seminar or meeting",On-call,1.0,1.0,No,11-50,Over 5,11-50,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,No,No,,
Madagascar-2016_233_9,Madagascar-2016,233_9,233,9,0.6,,,,,,1.0,No,11-50,Over 5,11-50,,35-44,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_233_1,Madagascar-2016,233_1,233,1,0.6,,,,Official mission,1.0,1.0,Yes,11-50,Over 5,11-50,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_233_7,Madagascar-2016,233_7,233,7,0.6,,,,,,1.0,No,11-50,Over 5,11-50,,45 or older,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_233_3,Madagascar-2016,233_3,233,3,0.6,,,,,,1.0,Yes,11-50,Over 5,11-50,,25-34,,Doctor,,Post-Secondary,,Male,,Advanced,,Yes,,,
Madagascar-2016_233_8,Madagascar-2016,233_8,233,8,0.6,,,,,,1.0,No,11-50,Over 5,11-50,,25-34,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_233_4,Madagascar-2016,233_4,233,4,0.6,,,,Authorized absence,1.0,1.0,No,11-50,Over 5,11-50,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_233_6,Madagascar-2016,233_6,233,6,0.6,,,,,1.0,1.0,No,11-50,Over 5,11-50,99.0,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_233_11,Madagascar-2016,233_11,233,11,0.6,,,,,1.0,1.0,No,11-50,Over 5,11-50,Paperwork,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_233_10,Madagascar-2016,233_10,233,10,0.6,,,On-call,Official mission,1.0,1.0,No,11-50,Over 5,11-50,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,No,No,,
Madagascar-2016_233_18,Madagascar-2016,233_18,233,18,0.6,,,,,,1.0,No,11-50,Over 5,11-50,,25-34,,Other,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_233_12,Madagascar-2016,233_12,233,12,0.6,,,On-call,,1.0,1.0,No,11-50,Over 5,11-50,99.0,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_233_17,Madagascar-2016,233_17,233,17,0.6,,,,,,1.0,No,11-50,Over 5,11-50,,35-44,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_233_14,Madagascar-2016,233_14,233,14,0.6,,,,,1.0,1.0,No,11-50,Over 5,11-50,"Laboratory, investigations, or x-ray",25-34,25-34,Other,Other,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_233_2,Madagascar-2016,233_2,233,2,0.6,,,,,,1.0,Yes,11-50,Over 5,11-50,,25-34,,Doctor,,Post-Secondary,,Female,,Advanced,,Yes,,,
Madagascar-2016_233_15,Madagascar-2016,233_15,233,15,0.6,,,Authorized absence,Authorized absence,1.0,1.0,No,11-50,Over 5,11-50,,35-44,35-44,Other,Other,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,No,No,,
Madagascar-2016_233_13,Madagascar-2016,233_13,233,13,0.6,,,,Sick or on maternity leave,1.0,1.0,No,11-50,Over 5,11-50,,25-34,25-34,Other,Other,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,No,,
Madagascar-2016_234_1,Madagascar-2016,234_1,234,1,0.8888889,NIANATRA,,Other,"Training, seminar or meeting",1.0,1.0,Yes,6-10,5 or less,11-50,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,No,No,,
Madagascar-2016_234_4,Madagascar-2016,234_4,234,4,0.8888889,,,Outreach or fieldwork,"Training, seminar or meeting",1.0,1.0,No,6-10,5 or less,11-50,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,No,No,,
Madagascar-2016_234_9,Madagascar-2016,234_9,234,9,0.8888889,,,Outreach or fieldwork,On-call,1.0,1.0,No,6-10,5 or less,11-50,,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,No,,
Madagascar-2016_234_6,Madagascar-2016,234_6,234,6,0.8888889,,,Authorized absence,Authorized absence,1.0,1.0,No,6-10,5 or less,11-50,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,No,No,,
Madagascar-2016_234_7,Madagascar-2016,234_7,234,7,0.8888889,,,On-call,On-call,1.0,1.0,No,6-10,5 or less,11-50,,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,No,,
Madagascar-2016_234_5,Madagascar-2016,234_5,234,5,0.8888889,,,Outreach or fieldwork,Unauthorized absence,1.0,1.0,No,6-10,5 or less,11-50,,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,No,No,,
Madagascar-2016_234_8,Madagascar-2016,234_8,234,8,0.8888889,,,Outreach or fieldwork,,1.0,1.0,No,6-10,5 or less,11-50,With patient,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_234_2,Madagascar-2016,234_2,234,2,0.8888889,,,,Unauthorized absence,1.0,1.0,Yes,6-10,5 or less,11-50,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_234_3,Madagascar-2016,234_3,234,3,0.8888889,,,,Unauthorized absence,1.0,1.0,No,6-10,5 or less,11-50,,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_235_2,Madagascar-2016,235_2,235,2,0.75,,,Official mission,On-call,1.0,1.0,Yes,5 or less,5 or less,6-10,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,No,,
Madagascar-2016_235_3,Madagascar-2016,235_3,235,3,0.75,,,Official mission,Unauthorized absence,1.0,1.0,Yes,5 or less,5 or less,6-10,,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,No,No,,
Madagascar-2016_235_1,Madagascar-2016,235_1,235,1,0.75,,,,,1.0,1.0,Yes,5 or less,5 or less,6-10,Looking for information or teaching,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_235_4,Madagascar-2016,235_4,235,4,0.75,,,Official mission,On-call,1.0,1.0,Yes,5 or less,5 or less,6-10,,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,No,No,,
Madagascar-2016_236_1,Madagascar-2016,236_1,236,1,0.33333334,,,,,1.0,1.0,Yes,6-10,5 or less,11-50,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_236_9,Madagascar-2016,236_9,236,9,0.33333334,,,Official mission,,1.0,1.0,No,6-10,5 or less,11-50,99.0,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_236_6,Madagascar-2016,236_6,236,6,0.33333334,,,Official mission,,1.0,1.0,No,6-10,5 or less,11-50,99.0,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_236_7,Madagascar-2016,236_7,236,7,0.33333334,,,,Official mission,1.0,1.0,No,6-10,5 or less,11-50,,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_236_4,Madagascar-2016,236_4,236,4,0.33333334,,,,Authorized absence,1.0,1.0,Yes,6-10,5 or less,11-50,,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_236_2,Madagascar-2016,236_2,236,2,0.33333334,,,Official mission,Sick or on maternity leave,1.0,1.0,Yes,6-10,5 or less,11-50,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,No,,
Madagascar-2016_236_8,Madagascar-2016,236_8,236,8,0.33333334,,,Official mission,,1.0,1.0,No,6-10,5 or less,11-50,99.0,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,Yes,After 2000
Madagascar-2016_236_3,Madagascar-2016,236_3,236,3,0.33333334,,,Official mission,,1.0,1.0,No,6-10,5 or less,11-50,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,Yes,Yes,After 2000
