unique_id,fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq0,m2sbq2,m2sbq4,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,has_roster,has_absentee,country,absence_rate
101007_33,101007,33,Over 50,11-50,Over 5,Nurse,,Diploma,0,Younger than 25,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_20,101007,20,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,0,35-44,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_13,101007,13,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,25-34,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_24,101007,24,Over 50,11-50,Over 5,Nurse,,Diploma,Male,25-34,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_3,101007,3,Over 50,11-50,Over 5,Other,Post-Secondary,,Male,Younger than 25,0,Yes,,No,,11.0,6.0,Other,Secondary,Diploma,After 2000,Male,35-44,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.36363637
101007_29,101007,29,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,0,35-44,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_22,101007,22,Over 50,11-50,Over 5,Nurse,,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_18,101007,18,Over 50,11-50,Over 5,Other,Secondary,Diploma,0,Younger than 25,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_16,101007,16,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,35-44,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_32,101007,32,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,0,25-34,0,0,Sickness/maternity,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_8,101007,8,Over 50,11-50,Over 5,Other,,Diploma,Male,Younger than 25,0,0,Official mission,No,,11.0,16.0,Other,Secondary,Diploma,After 2000,Male,35-44,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.36363637
101007_17,101007,17,Over 50,11-50,Over 5,Other,Post-Secondary,Diploma,Male,Younger than 25,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_19,101007,19,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Advanced,0,35-44,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
101007_4,101007,4,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,35-44,0,Yes,,Yes,,11.0,25.0,Other,Secondary,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.36363637
101008_5,101008,5,6-10,6-10,5 or less,Nurse,,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,7.0,5.0,Nurse,,Diploma,After 2000,Male,25-34,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.42857143
101008_4,101008,4,6-10,6-10,5 or less,Other,,Diploma,Male,25-34,0,Yes,,Yes,,7.0,4.0,Other,,Diploma,After 2000,Male,25-34,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.42857143
101008_2,101008,2,6-10,6-10,5 or less,Other,,Diploma,Male,Younger than 25,0,Yes,,Yes,,7.0,2.0,Other,,Diploma,After 2000,Male,Younger than 25,Yes,,À espera que o paciente se dispa,0.0,1,1.0,Mozambique-2014,0.42857143
101008_7,101008,7,6-10,6-10,5 or less,Nurse,,Diploma,0,25-34,Yes,Yes,,Yes,Yes,7.0,7.0,Nurse,,Diploma,After 2000,0.0,25-34,Yes,,Marcando testes ou consultas,0.0,1,1.0,Mozambique-2014,0.42857143
101008_1,101008,1,6-10,6-10,5 or less,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,7.0,1.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.42857143
101008_6,101008,6,6-10,6-10,5 or less,Nurse,Secondary,Diploma,0,25-34,Yes,Yes,,Yes,Yes,7.0,6.0,Nurse,Secondary,Diploma,After 2000,0.0,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.42857143
101008_3,101008,3,6-10,6-10,5 or less,Other,Secondary,Diploma,Male,25-34,Yes,0,Training/seminar/meeting,Yes,,7.0,3.0,Other,Secondary,Diploma,After 2000,Male,25-34,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.42857143
101010_2,101010,2,5 or less,5 or less,5 or less,Nurse,,Diploma,0,35-44,Yes,Yes,,Yes,Yes,2.0,2.0,Nurse,,Diploma,After 2000,0.0,35-44,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.0
101010_1,101010,1,5 or less,5 or less,5 or less,Other,,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,2.0,1.0,Other,,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.0
101203_1,101203,1,5 or less,5 or less,5 or less,Clinical Officer,Post-Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,2.0,1.0,Clinical Officer,Post-Secondary,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.5
101203_2,101203,2,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Diploma,0,25-34,0,0,Sickness/maternity,Yes,,2.0,2.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,25-34,0.0,Sickness/maternity,,,1,1.0,Mozambique-2014,0.5
101205_1,101205,1,5 or less,5 or less,5 or less,Clinical Officer,Post-Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,4.0,1.0,Clinical Officer,Post-Secondary,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.5
101205_3,101205,3,5 or less,5 or less,5 or less,Nurse,Primary,Certificate,Male,45 or older,0,Yes,,Yes,,4.0,3.0,Nurse,Primary,Certificate,Before 1990,Male,45 or older,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.5
101205_2,101205,2,5 or less,5 or less,5 or less,Clinical Officer,Post-Secondary,Diploma,Male,45 or older,Yes,0,Authorised absence (permision/leave),Yes,,4.0,2.0,Clinical Officer,Post-Secondary,Diploma,Before 1990,Male,45 or older,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.5
101205_4,101205,4,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Diploma,0,Younger than 25,Yes,0,Authorised absence (permision/leave),Yes,,4.0,4.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,Younger than 25,0.0,Sickness/maternity,,,1,1.0,Mozambique-2014,0.5
101306_30,101306,30,Over 50,11-50,Over 5,Other,,Diploma,Male,25-34,0,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_27,101306,27,Over 50,11-50,Over 5,Other,Secondary,Diploma,0,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_8,101306,8,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,11.0,2.0,Doctor,Secondary,,After 2000,Male,35-44,Yes,,À espera que o paciente se dispa,0.0,1,1.0,Mozambique-2014,0.54545456
101306_4,101306,4,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,11.0,17.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,0.0,Training/seminar/meeting,,,1,1.0,Mozambique-2014,0.54545456
101306_2,101306,2,Over 50,11-50,Over 5,Doctor,Secondary,,Male,35-44,Yes,Yes,,Yes,Yes,11.0,3.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.54545456
101306_21,101306,21,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_5,101306,5,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,35-44,0,Yes,,No,,11.0,29.0,Other,,Diploma,After 2000,Male,Younger than 25,Yes,,À espera que o paciente se dispa,0.0,1,1.0,Mozambique-2014,0.54545456
101306_31,101306,31,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,25-34,0,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_26,101306,26,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,0,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_18,101306,18,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Diploma,Male,25-34,0,0,Training/seminar/meeting,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_9,101306,9,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,11.0,25.0,Other,Secondary,Diploma,After 2000,Male,Younger than 25,0.0,Training/seminar/meeting,,,1,1.0,Mozambique-2014,0.54545456
101306_19,101306,19,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_25,101306,25,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,Younger than 25,0,0,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_7,101306,7,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,0,35-44,0,Yes,,No,,11.0,14.0,Clinical Officer,Secondary,Diploma,After 2000,0.0,Younger than 25,0.0,Training/seminar/meeting,,,1,1.0,Mozambique-2014,0.54545456
101306_22,101306,22,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,Younger than 25,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_10,101306,10,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,35-44,0,Yes,,No,,11.0,15.0,Clinical Officer,Secondary,Diploma,After 2000,0.0,25-34,Yes,,À espera que o paciente se dispa,0.0,1,1.0,Mozambique-2014,0.54545456
101306_6,101306,6,Over 50,11-50,Over 5,Clinical Officer,Secondary,Advanced,0,25-34,0,0,Authorised absence (permision/leave),No,,11.0,22.0,Clinical Officer,Secondary,Diploma,After 2000,Male,Younger than 25,0.0,"On call (pre on call, post on call)",,,1,1.0,Mozambique-2014,0.54545456
101306_12,101306,12,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_28,101306,28,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_14,101306,14,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,0,Younger than 25,0,0,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_1,101306,1,Over 50,11-50,Over 5,Other,Secondary,Advanced,Male,25-34,0,Yes,,Yes,,11.0,4.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,Yes,,À espera que o paciente se dispa,0.0,1,1.0,Mozambique-2014,0.54545456
101306_11,101306,11,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,25-34,0,0,Authorised absence (permision/leave),No,,11.0,1.0,Clinical Officer,Secondary,Advanced,After 2000,Male,25-34,Yes,,À espera que o paciente se dispa,0.0,1,1.0,Mozambique-2014,0.54545456
101306_23,101306,23,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,0,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_29,101306,29,Over 50,11-50,Over 5,Other,,Diploma,Male,Younger than 25,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_15,101306,15,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,0,25-34,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_24,101306,24,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,35-44,0,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_16,101306,16,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_13,101306,13,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,Younger than 25,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_17,101306,17,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,0,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_32,101306,32,Over 50,11-50,Over 5,Other,,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_33,101306,33,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,25-34,Yes,0,Training/seminar/meeting,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
101306_3,101306,3,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,0,Authorised absence (permision/leave),Yes,,11.0,33.0,Other,Secondary,Diploma,After 2000,Male,25-34,0.0,Training/seminar/meeting,,,1,1.0,Mozambique-2014,0.54545456
101306_20,101306,20,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.54545456
10202_3,10202,3,5 or less,5 or less,5 or less,Clinical Officer,Secondary,Diploma,Male,Younger than 25,0,Yes,,Yes,,3.0,3.0,Clinical Officer,Secondary,Diploma,After 2000,Male,Younger than 25,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.33333334
10202_1,10202,1,5 or less,5 or less,5 or less,Clinical Officer,Secondary,Diploma,0,25-34,Yes,Yes,,Yes,Yes,3.0,1.0,Clinical Officer,Secondary,Diploma,After 2000,0.0,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.33333334
10202_2,10202,2,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,0,Younger than 25,Yes,0,Authorised absence (permision/leave),Yes,,3.0,2.0,Nurse,Secondary,Diploma,After 2000,0.0,Younger than 25,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.33333334
10303_45,10303,45,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_47,10303,47,Over 50,Over 50,Over 5,Nurse,Primary,Certificate,0,35-44,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_14,10303,14,Over 50,Over 50,Over 5,Clinical Officer,,Diploma,Male,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_13,10303,13,Over 50,Over 50,Over 5,Clinical Officer,,Diploma,Male,35-44,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_11,10303,11,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,0,Authorised absence (permision/leave),No,,11.0,1.0,Clinical Officer,Post-Secondary,Advanced,After 2000,0.0,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.27272728
10303_15,10303,15,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,45 or older,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_39,10303,39,Over 50,Over 50,Over 5,Nurse,,Diploma,0,35-44,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_23,10303,23,Over 50,Over 50,Over 5,Nurse,Post-Secondary,Advanced,Male,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_36,10303,36,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,45 or older,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_12,10303,12,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,25-34,Yes,0,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_44,10303,44,Over 50,Over 50,Over 5,Nurse,,Diploma,Male,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_38,10303,38,Over 50,Over 50,Over 5,Nurse,,Diploma,0,45 or older,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_37,10303,37,Over 50,Over 50,Over 5,Nurse,,Diploma,0,25-34,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_49,10303,49,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_19,10303,19,Over 50,Over 50,Over 5,Nurse,,Diploma,0,35-44,Yes,0,Training/seminar/meeting,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_46,10303,46,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_33,10303,33,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_48,10303,48,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_26,10303,26,Over 50,Over 50,Over 5,Nurse,Post-Secondary,Advanced,Male,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_34,10303,34,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_25,10303,25,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,Training/seminar/meeting,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_17,10303,17,Over 50,Over 50,Over 5,Nurse,Primary,Certificate,Male,45 or older,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_9,10303,9,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,No,Yes,11.0,12.0,Clinical Officer,Secondary,Diploma,In the 1990s,0.0,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.27272728
10303_29,10303,29,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_24,10303,24,Over 50,Over 50,Over 5,Nurse,,Advanced,0,25-34,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_8,10303,8,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,25-34,Yes,0,Training/seminar/meeting,No,,11.0,50.0,Nurse,Secondary,Diploma,After 2000,0.0,25-34,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.27272728
10303_31,10303,31,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_10,10303,10,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,35-44,Yes,0,Training/seminar/meeting,Yes,,11.0,18.0,Nurse,,Diploma,Before 1990,Male,45 or older,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.27272728
10303_20,10303,20,Over 50,Over 50,Over 5,Nurse,,Certificate,Male,45 or older,Yes,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_16,10303,16,Over 50,Over 50,Over 5,Nurse,,Diploma,Male,45 or older,Yes,Yes,,Yes,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_3,10303,3,Over 50,Over 50,Over 5,Doctor,Post-Secondary,,Male,25-34,Yes,Yes,,Yes,No,11.0,3.0,Doctor,Post-Secondary,,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.27272728
10303_27,10303,27,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,Younger than 25,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_6,10303,6,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,0,Sickness/maternity,No,,11.0,29.0,Nurse,Secondary,Diploma,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Mozambique-2014,0.27272728
10303_7,10303,7,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,No,No,11.0,19.0,Nurse,,Diploma,After 2000,0.0,35-44,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.27272728
10303_40,10303,40,Over 50,Over 50,Over 5,Nurse,,Diploma,0,25-34,Yes,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_28,10303,28,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_42,10303,42,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_4,10303,4,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,0,Authorised absence (permision/leave),No,,11.0,37.0,Nurse,,Diploma,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Mozambique-2014,0.27272728
10303_18,10303,18,Over 50,Over 50,Over 5,Nurse,,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_21,10303,21,Over 50,Over 50,Over 5,Nurse,,Diploma,0,25-34,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_1,10303,1,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,0,25-34,Yes,Yes,,Yes,No,11.0,10.0,Clinical Officer,Secondary,Diploma,After 2000,0.0,35-44,0.0,Official mission,,,1,1.0,Mozambique-2014,0.27272728
10303_22,10303,22,Over 50,Over 50,Over 5,Nurse,,Diploma,Male,35-44,Yes,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_50,10303,50,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,Yes,,Yes,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_41,10303,41,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_2,10303,2,Over 50,Over 50,Over 5,Doctor,Post-Secondary,,Male,25-34,Yes,Yes,,No,No,11.0,16.0,Nurse,,Diploma,In the 1990s,Male,45 or older,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.27272728
10303_43,10303,43,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_32,10303,32,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_30,10303,30,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_35,10303,35,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.27272728
10303_5,10303,5,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,No,No,11.0,21.0,Nurse,,Diploma,After 2000,0.0,25-34,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.27272728
10801_2,10801,2,5 or less,5 or less,5 or less,Clinical Officer,,Diploma,0,25-34,Yes,Yes,,Yes,Yes,2.0,2.0,Clinical Officer,,Diploma,After 2000,0.0,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.0
10801_1,10801,1,5 or less,5 or less,5 or less,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,2.0,1.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.0
11001_4,11001,4,6-10,5 or less,5 or less,Clinical Officer,Secondary,Diploma,Male,Younger than 25,0,0,Non-authorised,Yes,,4.0,4.0,Clinical Officer,Secondary,Diploma,After 2000,Male,Younger than 25,0.0,Non-authorised,,,1,1.0,Mozambique-2014,0.25
11001_1,11001,1,6-10,5 or less,5 or less,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,4.0,1.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.25
11001_3,11001,3,6-10,5 or less,5 or less,Other,Secondary,Diploma,Male,25-34,0,Yes,,Yes,,4.0,3.0,Other,Secondary,Diploma,After 2000,Male,25-34,Yes,,À espera que o paciente se dispa,0.0,1,1.0,Mozambique-2014,0.25
11001_2,11001,2,6-10,5 or less,5 or less,Clinical Officer,Secondary,Diploma,0,35-44,Yes,Yes,,Yes,Yes,4.0,2.0,Clinical Officer,Secondary,Diploma,After 2000,0.0,35-44,Yes,,À espera que o paciente se dispa,Yes,1,1.0,Mozambique-2014,0.25
11005_28,11005,28,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.36363637
