unique_id,fac_id,staff_id,q110,q111,q112,q113,q114,q115,q115_b_other_specify,q117,q118,q119,q120,q120_b_other_specify,q121,q121_b_other_specify,q122,q116,has_roster,has_absentee,country,absence_rate
11173_2,11173,2,Nurse,0.0,35-44,YES,YES,, ,Nurse,0.0,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,2.0,1,1.0,Kenya-2012,0.2
11173_3,11173,3,Nurse,0.0,45 or older,YES,YES,, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,3.0,1,1.0,Kenya-2012,0.2
11173_4,11173,4,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,4.0,1,1.0,Kenya-2012,0.2
11173_5,11173,5,Nurse,MALE,25-34,YES,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,5.0,1,1.0,Kenya-2012,0.2
11173_6,11173,6,Nurse,0.0,45 or older,YES,YES,, ,Nurse,0.0,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,6.0,1,1.0,Kenya-2012,0.2
11173_7,11173,7,Nurse,0.0,25-34,YES,0.0,12.0, ,Nurse,0.0,0.0,12.0, ,, ,,7.0,1,1.0,Kenya-2012,0.2
11173_8,11173,8,Nurse,0.0,35-44,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.2
11173_9,11173,9,Nurse,0.0,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.2
11173_10,11173,10,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,10.0,1,1.0,Kenya-2012,0.2
11173_11,11173,11,Nurse,MALE,45 or older,YES,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.2
11173_12,11173,12,Other,MALE,45 or older,0.0,YES,, ,Other,MALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,12.0,1,1.0,Kenya-2012,0.2
11173_13,11173,13,Other,MALE,45 or older,0.0,0.0,12.0, ,Other,MALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,13.0,1,1.0,Kenya-2012,0.2
11173_14,11173,14,Other,MALE,25-34,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.2
11282_1,11282,1,Clinical Officer,MALE,25-34,YES,0.0,APPROVED ABSENCE, ,Clinical Officer,MALE,0.0,APPROVED ABSENCE, ,, ,,1.0,1,1.0,Kenya-2012,0.5
11282_2,11282,2,Nurse,0.0,25-34,YES,0.0,IN TRAINING/SEMINAR, ,Nurse,0.0,0.0,IN TRAINING/SEMINAR, ,, ,,2.0,1,1.0,Kenya-2012,0.5
11282_3,11282,3,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,YES,3.0,1,1.0,Kenya-2012,0.5
11282_4,11282,4,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,4.0,1,1.0,Kenya-2012,0.5
11282_5,11282,5,Nurse,MALE,45 or older,YES,YES,, ,Nurse,MALE,0.0,APPROVED ABSENCE, ,, ,,5.0,1,1.0,Kenya-2012,0.5
11282_6,11282,6,Nurse,0.0,25-34,YES,0.0,IN TRAINING/SEMINAR, ,Nurse,0.0,0.0,IN TRAINING/SEMINAR, ,, ,,6.0,1,1.0,Kenya-2012,0.5
11282_7,11282,7,Other,MALE,45 or older,0.0,YES,, ,Other,MALE,YES,, ,, ,0.0,7.0,1,1.0,Kenya-2012,0.5
11282_8,11282,8,Other,MALE,25-34,0.0,0.0,OFFICIAL MISSION, ,Other,MALE,0.0,OFFICIAL MISSION, ,, ,,8.0,1,1.0,Kenya-2012,0.5
11282_9,11282,9,Other,0.0,35-44,0.0,YES,, ,Other,0.0,YES,, ,COMPLETING ENCOUNTER FORM OR BILLING SHEET, ,0.0,9.0,1,1.0,Kenya-2012,0.5
11282_10,11282,10,Other,MALE,35-44,0.0,YES,, ,Other,MALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,10.0,1,1.0,Kenya-2012,0.5
11375_1,11375,1,Nurse,0.0,35-44,YES,YES,, ,Nurse,0.0,0.0,IN TRAINING/SEMINAR, ,, ,,1.0,1,1.0,Kenya-2012,0.5
11375_2,11375,2,Other,MALE,35-44,0.0,YES,, ,Other,MALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,2.0,1,1.0,Kenya-2012,0.5
11383_1,11383,1,Clinical Officer,0.0,25-34,YES,0.0,IN TRAINING/SEMINAR, ,Clinical Officer,0.0,0.0,OFFICIAL MISSION, ,, ,,1.0,1,1.0,Kenya-2012,0.9
11383_2,11383,2,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,2.0,1,1.0,Kenya-2012,0.9
11383_3,11383,3,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,3.0,1,1.0,Kenya-2012,0.9
11383_4,11383,4,Nurse,0.0,25-34,YES,0.0,APPROVED ABSENCE, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,4.0,1,1.0,Kenya-2012,0.9
11383_5,11383,5,Nurse,0.0,Younger than 25,YES,0.0,IN TRAINING/SEMINAR, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,5.0,1,1.0,Kenya-2012,0.9
11383_6,11383,6,Nurse,MALE,25-34,YES,0.0,APPROVED ABSENCE, ,Nurse,MALE,0.0,APPROVED ABSENCE, ,, ,,6.0,1,1.0,Kenya-2012,0.9
11383_7,11383,7,Other,MALE,25-34,0.0,0.0,OTHER (SPECIFY), ,Other,MALE,0.0,OFFICIAL MISSION, ,, ,,7.0,1,1.0,Kenya-2012,0.9
11383_8,11383,8,Other,MALE,35-44,0.0,0.0,OTHER (SPECIFY), ,Other,MALE,0.0,OFFICIAL MISSION, ,, ,,8.0,1,1.0,Kenya-2012,0.9
11383_9,11383,9,Other,MALE,25-34,0.0,0.0,OTHER (SPECIFY), ,Other,MALE,0.0,OFFICIAL MISSION, ,, ,,9.0,1,1.0,Kenya-2012,0.9
11383_10,11383,10,Other,MALE,45 or older,0.0,YES,, ,Other,MALE,0.0,APPROVED ABSENCE, ,, ,,10.0,1,1.0,Kenya-2012,0.9
11395_1,11395,1,Clinical Officer,MALE,45 or older,YES,YES,, ,Clinical Officer,MALE,0.0,APPROVED ABSENCE, ,, ,,1.0,1,1.0,Kenya-2012,0.8
11395_2,11395,2,Clinical Officer,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_3,11395,3,Clinical Officer,MALE,45 or older,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_4,11395,4,Clinical Officer,0.0,25-34,YES,YES,, ,Clinical Officer,0.0,0.0,APPROVED ABSENCE, ,, ,,4.0,1,1.0,Kenya-2012,0.8
11395_5,11395,5,Nurse,0.0,45 or older,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_6,11395,6,Clinical Officer,MALE,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_7,11395,7,Nurse,0.0,25-34,0.0,YES,, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,7.0,1,1.0,Kenya-2012,0.8
11395_8,11395,8,Nurse,MALE,25-34,0.0,0.0,APPROVED ABSENCE, ,Nurse,MALE,0.0,APPROVED ABSENCE, ,, ,,8.0,1,1.0,Kenya-2012,0.8
11395_9,11395,9,Nurse,0.0,35-44,0.0,YES,, ,Nurse,0.0,YES,, ,COMPLETING ENCOUNTER FORM OR BILLING SHEET, ,0.0,9.0,1,1.0,Kenya-2012,0.8
11395_10,11395,10,Nurse,0.0,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_11,11395,11,Nurse,0.0,45 or older,0.0,YES,, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,11.0,1,1.0,Kenya-2012,0.8
11395_12,11395,12,Nurse,MALE,35-44,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_13,11395,13,Nurse,MALE,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_14,11395,14,Nurse,0.0,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_15,11395,15,Nurse,0.0,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_16,11395,16,Nurse,MALE,35-44,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_17,11395,17,Nurse,MALE,45 or older,0.0,YES,, ,Nurse,MALE,0.0,APPROVED ABSENCE, ,, ,,17.0,1,1.0,Kenya-2012,0.8
11395_18,11395,18,Nurse,0.0,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_19,11395,19,Other,MALE,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_20,11395,20,Other,MALE,25-34,0.0,0.0,IN TRAINING/SEMINAR, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_21,11395,21,Other,MALE,35-44,0.0,YES,, ,Other,MALE,0.0,APPROVED ABSENCE, ,, ,,21.0,1,1.0,Kenya-2012,0.8
11395_22,11395,22,Other,MALE,45 or older,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_23,11395,23,Other,MALE,35-44,0.0,0.0,IN TRAINING/SEMINAR, ,,,,,,,,,,1,,Kenya-2012,0.8
11395_24,11395,24,Other,0.0,35-44,0.0,0.0,IN TRAINING/SEMINAR, ,Other,0.0,0.0,APPROVED ABSENCE, ,, ,,24.0,1,1.0,Kenya-2012,0.8
11395_25,11395,25,Other,0.0,25-34,0.0,0.0,IN TRAINING/SEMINAR, ,Other,0.0,YES,, ,INTERPRETING LABORATORY WORK OR RADIOGRAPHS,CHECKING LATRINE CLEANLINESS,0.0,25.0,1,1.0,Kenya-2012,0.8
11397_1,11397,1,Nurse,0.0,45 or older,YES,YES,, ,Nurse,0.0,0.0,ON STRIKE, ,, ,,1.0,1,1.0,Kenya-2012,0.5
11397_2,11397,2,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,2.0,1,1.0,Kenya-2012,0.5
11436_1,11436,1,Clinical Officer,0.0,25-34,YES,YES,, ,Clinical Officer,0.0,YES,, ,INTERPRETING LABORATORY WORK OR RADIOGRAPHS,IN  THE MEETING,0.0,1.0,1,1.0,Kenya-2012,0.44444445
11436_2,11436,2,Clinical Officer,MALE,35-44,YES,0.0,SICK/MATERNITY, ,Clinical Officer,MALE,0.0,SICK/MATERNITY, ,, ,,2.0,1,1.0,Kenya-2012,0.44444445
11436_3,11436,3,Nurse,MALE,35-44,0.0,0.0,APPROVED ABSENCE, ,Nurse,MALE,0.0,12.0, ,, ,,3.0,1,1.0,Kenya-2012,0.44444445
11436_4,11436,4,Nurse,0.0,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.44444445
11436_5,11436,5,Nurse,0.0,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.44444445
11436_6,11436,6,Nurse,MALE,45 or older,0.0,0.0,SICK/MATERNITY, ,,,,,,,,,,1,,Kenya-2012,0.44444445
11436_7,11436,7,Nurse,MALE,25-34,YES,YES,, ,Nurse,MALE,YES,, ,INTERPRETING LABORATORY WORK OR RADIOGRAPHS,MEETING,0.0,7.0,1,1.0,Kenya-2012,0.44444445
11436_8,11436,8,Nurse,MALE,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.44444445
11436_9,11436,9,Nurse,MALE,25-34,0.0,0.0,SICK/MATERNITY, ,Nurse,MALE,0.0,SICK/MATERNITY, ,, ,,9.0,1,1.0,Kenya-2012,0.44444445
11436_10,11436,10,Nurse,0.0,25-34,0.0,0.0,APPROVED ABSENCE, ,Nurse,0.0,YES,, ,INTERPRETING LABORATORY WORK OR RADIOGRAPHS,MEETING,0.0,10.0,1,1.0,Kenya-2012,0.44444445
11436_11,11436,11,Nurse,MALE,25-34,0.0,0.0,12.0, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,11.0,1,1.0,Kenya-2012,0.44444445
11436_12,11436,12,Nurse,0.0,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.44444445
11436_13,11436,13,Nurse,0.0,25-34,0.0,YES,, ,Nurse,0.0,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,0.0,13.0,1,1.0,Kenya-2012,0.44444445
11436_14,11436,14,Nurse,MALE,35-44,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.44444445
11436_15,11436,15,Other,0.0,25-34,0.0,0.0,IN TRAINING/SEMINAR, ,,,,,,,,,,1,,Kenya-2012,0.44444445
11436_16,11436,16,Nurse,0.0,25-34,0.0,0.0,12.0, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,16.0,1,1.0,Kenya-2012,0.44444445
11436_17,11436,17,Other,MALE,25-34,0.0,0.0,SICK/MATERNITY, ,,,,,,,,,,1,,Kenya-2012,0.44444445
11474_1,11474,1,Doctor,MALE,35-44,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_2,11474,2,Doctor,MALE,35-44,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_3,11474,3,Doctor,MALE,35-44,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_4,11474,4,Doctor,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_5,11474,5,Doctor,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_6,11474,6,Doctor,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_7,11474,7,Doctor,0.0,25-34,YES,0.0,OFFICIAL MISSION, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_8,11474,8,Doctor,MALE,25-34,YES,YES,, ,Doctor,MALE,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,8.0,1,1.0,Kenya-2012,0.8
11474_9,11474,9,Doctor,0.0,25-34,YES,0.0,OFFICIAL MISSION, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_10,11474,10,Clinical Officer,0.0,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_11,11474,11,Doctor,0.0,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_12,11474,12,Doctor,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_13,11474,13,Doctor,0.0,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_14,11474,14,Doctor,0.0,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_15,11474,15,Doctor,0.0,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_16,11474,16,Doctor,0.0,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_17,11474,17,Doctor,0.0,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_18,11474,18,Doctor,0.0,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_19,11474,19,Doctor,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_20,11474,20,Doctor,0.0,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_21,11474,21,Doctor,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_22,11474,22,Doctor,MALE,25-34,YES,0.0,SICK/MATERNITY, ,Doctor,MALE,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,22.0,1,1.0,Kenya-2012,0.8
11474_23,11474,23,Clinical Officer,0.0,35-44,YES,YES,, ,Clinical Officer,0.0,0.0,SICK/MATERNITY, ,, ,,23.0,1,1.0,Kenya-2012,0.8
11474_24,11474,24,Clinical Officer,MALE,45 or older,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_25,11474,25,Clinical Officer,0.0,45 or older,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_26,11474,26,Clinical Officer,MALE,25-34,YES,0.0,12.0, ,Clinical Officer,MALE,0.0,NOT APPROVED ABSENCE, ,, ,,26.0,1,1.0,Kenya-2012,0.8
11474_27,11474,27,Clinical Officer,0.0,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_28,11474,28,Clinical Officer,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_29,11474,29,Clinical Officer,MALE,25-34,YES,0.0,IN TRAINING/SEMINAR, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_30,11474,30,Clinical Officer,MALE,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_31,11474,31,Clinical Officer,0.0,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_32,11474,32,Nurse,0.0,35-44,0.0,0.0,12.0, ,Nurse,0.0,0.0,ON STRIKE, ,, ,,32.0,1,1.0,Kenya-2012,0.8
11474_33,11474,33,Nurse,0.0,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_34,11474,34,Nurse,0.0,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_35,11474,35,Nurse,0.0,45 or older,0.0,YES,, ,Nurse,0.0,0.0,ON STRIKE, ,, ,,35.0,1,1.0,Kenya-2012,0.8
11474_36,11474,36,Nurse,0.0,45 or older,0.0,0.0,12.0, ,Nurse,0.0,0.0,ON STRIKE, ,, ,,36.0,1,1.0,Kenya-2012,0.8
11474_37,11474,37,Nurse,0.0,35-44,0.0,0.0,IN TRAINING/SEMINAR, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_38,11474,38,Nurse,0.0,25-34,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_39,11474,39,Nurse,0.0,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_40,11474,40,Nurse,MALE,45 or older,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_41,11474,41,Nurse,0.0,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_42,11474,42,Nurse,0.0,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_43,11474,43,Nurse,0.0,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_44,11474,44,Nurse,0.0,35-44,0.0,YES,, ,Nurse,0.0,0.0,ON STRIKE, ,, ,,44.0,1,1.0,Kenya-2012,0.8
11474_45,11474,45,Nurse,0.0,45 or older,0.0,YES,, ,Nurse,0.0,0.0,ON STRIKE, ,, ,,45.0,1,1.0,Kenya-2012,0.8
11474_46,11474,46,Nurse,0.0,35-44,0.0,YES,, ,Nurse,0.0,0.0,ON STRIKE, ,, ,,46.0,1,1.0,Kenya-2012,0.8
11474_47,11474,47,Nurse,MALE,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_48,11474,48,Nurse,MALE,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_49,11474,49,Nurse,0.0,45 or older,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.8
11474_50,11474,50,Nurse,0.0,45 or older,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.8
11497_1,11497,1,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,0.0,SICK/MATERNITY, ,, ,,1.0,1,1.0,Kenya-2012,0.6666667
11497_2,11497,2,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,2.0,1,1.0,Kenya-2012,0.6666667
11497_3,11497,3,Other,MALE,Younger than 25,0.0,0.0,IN TRAINING/SEMINAR, ,Other,MALE,0.0,IN TRAINING/SEMINAR, ,, ,,3.0,1,1.0,Kenya-2012,0.6666667
11514_1,11514,1,Nurse,MALE,45 or older,0.0,0.0,APPROVED ABSENCE, ,Nurse,MALE,0.0,APPROVED ABSENCE, ,, ,,1.0,1,1.0,Kenya-2012,0.33333334
11514_2,11514,2,Clinical Officer,0.0,25-34,YES,YES,, ,Clinical Officer,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,2.0,1,1.0,Kenya-2012,0.33333334
11514_3,11514,3,Other,MALE,35-44,0.0,0.0,OFFICIAL MISSION, ,Other,MALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,3.0,1,1.0,Kenya-2012,0.33333334
11522_1,11522,1,Clinical Officer,0.0,35-44,YES,0.0,12.0, ,Clinical Officer,0.0,0.0,APPROVED ABSENCE, ,, ,,1.0,1,1.0,Kenya-2012,0.9
11522_2,11522,2,Clinical Officer,0.0,25-34,YES,YES,, ,Clinical Officer,0.0,0.0,12.0, ,, ,,2.0,1,1.0,Kenya-2012,0.9
11522_3,11522,3,Clinical Officer,MALE,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_4,11522,4,Clinical Officer,0.0,25-34,YES,YES,, ,Clinical Officer,0.0,0.0,12.0, ,, ,,4.0,1,1.0,Kenya-2012,0.9
11522_5,11522,5,Clinical Officer,0.0,25-34,YES,0.0,APPROVED ABSENCE, ,Clinical Officer,0.0,0.0,12.0, ,, ,,5.0,1,1.0,Kenya-2012,0.9
11522_6,11522,6,Clinical Officer,0.0,35-44,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_7,11522,7,Nurse,0.0,35-44,0.0,YES,, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,7.0,1,1.0,Kenya-2012,0.9
11522_8,11522,8,Nurse,0.0,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_9,11522,9,Nurse,0.0,35-44,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_10,11522,10,Nurse,0.0,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_11,11522,11,Nurse,0.0,35-44,0.0,0.0,12.0, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,11.0,1,1.0,Kenya-2012,0.9
11522_12,11522,12,Nurse,0.0,45 or older,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_13,11522,13,Nurse,0.0,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_14,11522,14,Nurse,0.0,45 or older,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_15,11522,15,Nurse,0.0,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_16,11522,16,Nurse,0.0,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_17,11522,17,Nurse,0.0,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_18,11522,18,Nurse,0.0,35-44,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_19,11522,19,Nurse,MALE,25-34,0.0,0.0,APPROVED ABSENCE, ,Nurse,MALE,0.0,APPROVED ABSENCE, ,, ,,19.0,1,1.0,Kenya-2012,0.9
11522_20,11522,20,Nurse,0.0,45 or older,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_21,11522,21,Nurse,0.0,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_22,11522,22,Nurse,0.0,25-34,0.0,0.0,12.0, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,22.0,1,1.0,Kenya-2012,0.9
11522_23,11522,23,Nurse,MALE,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_24,11522,24,Nurse,0.0,45 or older,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.9
11522_25,11522,25,Nurse,0.0,35-44,0.0,0.0,12.0, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,25.0,1,1.0,Kenya-2012,0.9
11522_26,11522,26,Other,MALE,35-44,0.0,,, ,Other,MALE,0.0,12.0, ,, ,,26.0,1,1.0,Kenya-2012,0.9
11538_1,11538,1,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,1.0,1,1.0,Kenya-2012,0.42857143
11538_2,11538,2,Clinical Officer,MALE,25-34,YES,0.0,APPROVED ABSENCE, ,Clinical Officer,MALE,0.0,APPROVED ABSENCE, ,, ,,2.0,1,1.0,Kenya-2012,0.42857143
11538_3,11538,3,Nurse,0.0,35-44,YES,0.0,IN TRAINING/SEMINAR, ,Nurse,0.0,0.0,12.0, ,, ,,3.0,1,1.0,Kenya-2012,0.42857143
11538_4,11538,4,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,0.0,12.0, ,, ,,4.0,1,1.0,Kenya-2012,0.42857143
11538_5,11538,5,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,5.0,1,1.0,Kenya-2012,0.42857143
11538_6,11538,6,Other,0.0,25-34,0.0,YES,, ,Other,0.0,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,0.0,6.0,1,1.0,Kenya-2012,0.42857143
11538_7,11538,7,Other,MALE,25-34,0.0,YES,, ,Other,MALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,7.0,1,1.0,Kenya-2012,0.42857143
11553_1,11553,1,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,1.0,1,1.0,Kenya-2012,0.0
11553_2,11553,2,Other,MALE,35-44,0.0,YES,, ,Other,MALE,YES,, ,COMPLETING ENCOUNTER FORM OR BILLING SHEET, ,0.0,2.0,1,1.0,Kenya-2012,0.0
11566_1,11566,1,Doctor,MALE,35-44,YES,YES,, ,Doctor,MALE,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,1.0,1,1.0,Kenya-2012,0.7
11566_2,11566,2,Doctor,0.0,25-34,YES,0.0,SICK/MATERNITY, ,,,,,,,,,,1,,Kenya-2012,0.7
11566_3,11566,3,Doctor,0.0,25-34,YES,YES,, ,Doctor,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,3.0,1,1.0,Kenya-2012,0.7
11566_4,11566,4,Doctor,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.7
11566_5,11566,5,Doctor,MALE,25-34,YES,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.7
11566_6,11566,6,Other,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.7
