unique_id,fac_id,staff_id,h2sa203,h2sa204,h2sa205,h2sa206,h2sa207,h2sa208,h2sa208o,h2sa209,h2bID,h2b211,h2b212,h2b213,h2b214,h2b215,h2b215o,h2b216,h2b216o,h2b217,has_roster,has_absentee,country,absence_rate
163_5,163,5,Other,0.0,,Yes,0.0,Approved absence,,No,5.0,5.0,Other,0.0,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.8
163_2,163,2,Nurse,0.0,,Yes,0.0,In training/seminar,,Yes,2.0,2.0,Nurse,0.0,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.8
163_1,163,1,Nurse,0.0,,Yes,0.0,In training/seminar,,Yes,1.0,1.0,Nurse,0.0,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.8
163_4,163,4,Other,0.0,,Yes,0.0,Sick/maternity,,No,4.0,4.0,Other,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.8
163_3,163,3,Nurse,0.0,,Yes,Yes,,,Yes,3.0,3.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.8
164_3,164,3,Nurse,0.0,45 or older,Yes,0.0,Approved absence,,Yes,3.0,3.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
164_4,164,4,Other,Male,25-34,0.0,Yes,,,No,4.0,4.0,Other,Male,Yes,,,Waiting for patient to undress,,Yes,1,1.0,Uganda-2013,0.33333334
164_6,164,6,Nurse,0.0,35-44,Yes,0.0,Sick/maternity,,No,6.0,6.0,Nurse,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.33333334
164_9,164,9,Other,0.0,25-34,0.0,0.0,Sick/maternity,,,9.0,9.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
164_5,164,5,Nurse,0.0,25-34,Yes,Yes,,,Yes,5.0,5.0,Nurse,0.0,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.33333334
164_1,164,1,Doctor,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Doctor,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
164_8,164,8,Other,0.0,45 or older,0.0,0.0,12.0,,No,8.0,8.0,Other,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.33333334
164_7,164,7,Other,0.0,45 or older,0.0,0.0,Official mission,,No,7.0,7.0,Other,0.0,Yes,,,Interpreting laboratory work or radiographs,,Yes,1,1.0,Uganda-2013,0.33333334
164_2,164,2,Clinical Officer,0.0,25-34,Yes,Yes,,,Yes,2.0,2.0,Clinical Officer,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
165_6,165,6,Other,Male,25-34,0.0,Yes,,,No,6.0,6.0,Other,0.0,Yes,,,Interpreting laboratory work or radiographs,,Yes,1,1.0,Uganda-2013,0.5
165_3,165,3,Other,Male,45 or older,0.0,Yes,,,No,3.0,3.0,Other,Male,Yes,,,Completing encounter form or billing sheet,,Yes,1,1.0,Uganda-2013,0.5
165_5,165,5,Other,Male,35-44,0.0,0.0,12.0,,No,5.0,5.0,Other,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.5
165_1,165,1,Nurse,0.0,25-34,Yes,0.0,Official mission,,Yes,1.0,1.0,Nurse,0.0,0.0,In training/seminar,,,,Yes,1,1.0,Uganda-2013,0.5
165_4,165,4,Other,Male,35-44,0.0,Yes,,,No,4.0,4.0,Other,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.5
165_2,165,2,Nurse,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
166_8,166,8,Other,Male,25-34,0.0,0.0,Official mission,,No,,,,,,,,,,,1,,Uganda-2013,0.16666667
166_1,166,1,Clinical Officer,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.16666667
166_6,166,6,Other,0.0,25-34,0.0,Yes,,,No,6.0,6.0,Other,0.0,Yes,,,Interpreting laboratory work or radiographs,,Yes,1,1.0,Uganda-2013,0.16666667
166_7,166,7,Other,Male,25-34,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.16666667
166_4,166,4,Nurse,0.0,25-34,Yes,Yes,,,Yes,4.0,4.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.16666667
166_2,166,2,Nurse,0.0,35-44,Yes,Yes,,,Yes,2.0,2.0,Nurse,0.0,Yes,,,Arranging for tests or consultations,,Yes,1,1.0,Uganda-2013,0.16666667
166_5,166,5,Other,0.0,45 or older,0.0,0.0,Official mission,,No,5.0,5.0,Other,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.16666667
166_3,166,3,Nurse,0.0,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,0.0,Yes,,,Interpreting laboratory work or radiographs,,Yes,1,1.0,Uganda-2013,0.16666667
167_1,167,1,Nurse,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,Male,Yes,,,Completing encounter form or billing sheet,,Yes,1,1.0,Uganda-2013,0.0
168_3,168,3,Other,0.0,45 or older,Yes,0.0,12.0,NOT HER SHIFT,Yes,3.0,3.0,Other,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.6666667
168_2,168,2,Other,0.0,45 or older,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6666667
168_1,168,1,Nurse,Male,Younger than 25,Yes,Yes,,,Yes,1.0,1.0,Nurse,Male,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.6666667
169_3,169,3,Other,0.0,25-34,Yes,Yes,,/,Yes,2.0,3.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
169_1,169,1,Nurse,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,Male,0.0,18.0,MEETING,,,,1,1.0,Uganda-2013,0.33333334
169_2,169,2,Other,0.0,25-34,Yes,Yes,,,Yes,3.0,2.0,Other,0.0,Yes,,,Arranging for tests or consultations,,Yes,1,1.0,Uganda-2013,0.33333334
17_11,17,11,Other,0.0,45 or older,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.6666667
17_7,17,7,Nurse,0.0,25-34,Yes,0.0,12.0,,Yes,5.0,7.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6666667
17_5,17,5,Nurse,0.0,25-34,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.6666667
17_12,17,12,Other,0.0,25-34,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.6666667
17_9,17,9,Other,0.0,35-44,0.0,0.0,Not approved Absence,,No,,,,,,,,,,,1,,Uganda-2013,0.6666667
17_8,17,8,Nurse,0.0,25-34,Yes,0.0,12.0,,Yes,6.0,8.0,Nurse,0.0,Yes,,,Arranging for tests or consultations,,Yes,1,1.0,Uganda-2013,0.6666667
17_10,17,10,Other,0.0,35-44,0.0,0.0,Approved absence,,No,,,,,,,,,,,1,,Uganda-2013,0.6666667
17_3,17,3,Other,0.0,35-44,Yes,0.0,12.0,,Yes,3.0,3.0,Other,0.0,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.6666667
17_2,17,2,Clinical Officer,Male,45 or older,Yes,0.0,12.0,,Yes,2.0,2.0,Clinical Officer,Male,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.6666667
17_13,17,13,Other,0.0,25-34,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.6666667
17_4,17,4,Nurse,0.0,25-34,Yes,Yes,,,Yes,4.0,4.0,Nurse,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.6666667
17_6,17,6,Nurse,0.0,Younger than 25,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.6666667
17_1,17,1,Clinical Officer,Male,35-44,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.6666667
170_8,170,8,Nurse,0.0,25-34,Yes,Yes,,,Yes,8.0,8.0,Nurse,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.6
170_2,170,2,Clinical Officer,0.0,Younger than 25,Yes,Yes,,,Yes,2.0,2.0,Clinical Officer,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6
170_10,170,10,Other,Male,25-34,Yes,Yes,,,Yes,10.0,10.0,Other,Male,0.0,12.0,,,,,1,1.0,Uganda-2013,0.6
170_9,170,9,Other,Male,45 or older,Yes,Yes,,,Yes,9.0,9.0,Other,Male,0.0,12.0,,,,,1,1.0,Uganda-2013,0.6
170_4,170,4,Nurse,0.0,35-44,Yes,Yes,,,Yes,4.0,4.0,Nurse,0.0,Yes,,,Completing encounter form or billing sheet,,Yes,1,1.0,Uganda-2013,0.6
170_3,170,3,Other,Male,25-34,Yes,0.0,12.0,,No,3.0,3.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6
170_7,170,7,Nurse,0.0,25-34,Yes,0.0,Other (to specify),GONE NEVER WANTED TO BE INTERVIED,Yes,7.0,7.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6
170_6,170,6,Nurse,0.0,25-34,Yes,0.0,Other (to specify),ANNUAL LEAVE,No,6.0,6.0,Nurse,0.0,0.0,Other (to specify),ANNUAL LEAVE,,,,1,1.0,Uganda-2013,0.6
170_5,170,5,Nurse,0.0,Younger than 25,Yes,Yes,,,Yes,5.0,5.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.6
170_1,170,1,Clinical Officer,Male,35-44,Yes,0.0,Sick/maternity,,Yes,1.0,1.0,Clinical Officer,Male,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.6
171_1,171,1,Nurse,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,,1,1.0,Uganda-2013,0.5
171_2,171,2,Other,0.0,45 or older,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.5
172_1,172,1,Nurse,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,0.0,18.0,AT HOME,,,,1,1.0,Uganda-2013,0.6666667
172_2,172,2,Other,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,Male,0.0,18.0,AT HOME,,,,1,1.0,Uganda-2013,0.6666667
172_3,172,3,Other,0.0,25-34,Yes,Yes,,,Yes,3.0,3.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6666667
173_3,173,3,Other,0.0,25-34,Yes,Yes,,,Yes,3.0,3.0,Other,0.0,Yes,,,Waiting for patient to undress,,Yes,1,1.0,Uganda-2013,0.25
173_4,173,4,Nurse,Male,25-34,Yes,0.0,Approved absence,,Yes,4.0,4.0,Nurse,Male,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.25
173_1,173,1,Nurse,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.25
173_2,173,2,Other,0.0,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,Yes,,,Interpreting laboratory work or radiographs,,Yes,1,1.0,Uganda-2013,0.25
174_2,174,2,Nurse,0.0,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
174_3,174,3,Other,0.0,25-34,Yes,0.0,Outreach,,Yes,3.0,3.0,Other,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.5
174_4,174,4,Other,Male,35-44,Yes,0.0,Approved absence,,Yes,4.0,4.0,Other,Male,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.5
174_1,174,1,Nurse,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
175_1,175,1,Nurse,Male,45 or older,Yes,Yes,,,Yes,1.0,1.0,Nurse,Male,Yes,,,Completing encounter form or billing sheet,,Yes,1,1.0,Uganda-2013,0.6666667
175_3,175,3,Other,0.0,35-44,Yes,0.0,Sick/maternity,,Yes,3.0,3.0,Other,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.6666667
175_2,175,2,Nurse,0.0,25-34,Yes,0.0,Approved absence,,Yes,2.0,2.0,Nurse,0.0,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.6666667
176_11,176,11,Other,Male,25-34,0.0,0.0,Approved absence,,No,,,,,,,,,,,1,,Uganda-2013,0.8333333
176_5,176,5,Nurse,0.0,25-34,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.8333333
176_3,176,3,Nurse,Male,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,Male,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.8333333
176_4,176,4,Nurse,Male,25-34,Yes,0.0,In training/seminar,,Yes,4.0,4.0,Nurse,Male,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.8333333
176_2,176,2,Clinical Officer,Male,25-34,Yes,0.0,Approved absence,,Yes,2.0,2.0,Clinical Officer,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.8333333
176_6,176,6,Nurse,0.0,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.8333333
176_1,176,1,Nurse,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,Yes,,,Interpreting laboratory work or radiographs,WAITING FOR PATIENTS,0.0,1,1.0,Uganda-2013,0.8333333
176_12,176,12,Other,0.0,45 or older,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.8333333
176_10,176,10,Other,Male,25-34,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.8333333
176_9,176,9,Nurse,0.0,25-34,Yes,0.0,12.0,,Yes,6.0,9.0,Nurse,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.8333333
176_8,176,8,Other,0.0,25-34,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.8333333
176_7,176,7,Other,Male,45 or older,Yes,Yes,,,Yes,5.0,7.0,Other,Male,0.0,12.0,,,,,1,1.0,Uganda-2013,0.8333333
177_4,177,4,Nurse,Male,35-44,Yes,Yes,,,Yes,3.0,4.0,Nurse,Male,Yes,,,Interpreting laboratory work or radiographs,WAITING FOR PATIENTS,,1,1.0,Uganda-2013,0.85714287
177_7,177,7,Nurse,Male,25-34,Yes,0.0,Outreach,,Yes,5.0,7.0,Nurse,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.85714287
177_1,177,1,Clinical Officer,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.85714287
177_10,177,10,Nurse,0.0,45 or older,Yes,0.0,Outreach,,Yes,7.0,10.0,Nurse,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.85714287
177_3,177,3,Nurse,Male,Younger than 25,0.0,0.0,Outreach,,No,,,,,,,,,,,1,,Uganda-2013,0.85714287
177_6,177,6,Nurse,Male,35-44,Yes,0.0,Official mission,,Yes,4.0,6.0,Nurse,Male,0.0,Outreach,,,,,1,1.0,Uganda-2013,0.85714287
177_12,177,12,Other,Male,Younger than 25,0.0,0.0,Outreach,,No,,,,,,,,,,,1,,Uganda-2013,0.85714287
177_8,177,8,Nurse,0.0,35-44,0.0,Yes,,,No,6.0,8.0,Nurse,Male,0.0,Outreach,,,,,1,1.0,Uganda-2013,0.85714287
177_5,177,5,Nurse,0.0,35-44,0.0,0.0,Outreach,,No,,,,,,,,,,,1,,Uganda-2013,0.85714287
177_11,177,11,Other,0.0,25-34,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.85714287
177_2,177,2,Clinical Officer,Male,35-44,Yes,0.0,Not approved Absence,,Yes,2.0,2.0,Clinical Officer,Male,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.85714287
177_9,177,9,Nurse,Male,25-34,Yes,0.0,Outreach,,No,,,,,,,,,,,1,,Uganda-2013,0.85714287
177_13,177,13,Nurse,0.0,25-34,0.0,0.0,Outreach,,No,,,,,,,,,,,1,,Uganda-2013,0.85714287
178_7,178,7,Nurse,0.0,25-34,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,1.0
178_1,178,1,Clinical Officer,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,1.0
178_2,178,2,Clinical Officer,Male,35-44,Yes,Yes,,,Yes,2.0,2.0,Clinical Officer,Male,0.0,Official mission,,,,,1,1.0,Uganda-2013,1.0
178_6,178,6,Nurse,0.0,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,1.0
178_4,178,4,Nurse,Male,25-34,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,1.0
178_5,178,5,Nurse,0.0,25-34,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,1.0
178_3,178,3,Nurse,Male,45 or older,,0.0,Official mission,,No,,,,,,,,,,,1,,Uganda-2013,1.0
179_2,179,2,Nurse,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.75
179_3,179,3,Nurse,0.0,25-34,Yes,0.0,Other (to specify),LEAVE,Yes,3.0,3.0,Nurse,0.0,0.0,Other (to specify),LEAVE,,,,1,1.0,Uganda-2013,0.75
179_1,179,1,Nurse,0.0,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.75
179_4,179,4,Nurse,0.0,25-34,Yes,0.0,Sick/maternity,,Yes,4.0,4.0,Nurse,0.0,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.75
179_5,179,5,Other,0.0,45 or older,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.75
179_6,179,6,Other,Male,25-34,0.0,0.0,Outreach,,No,,,,,,,,,,,1,,Uganda-2013,0.75
18_4,18,4,Other,0.0,25-34,Yes,Yes,,,Yes,4.0,4.0,Other,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.5
18_2,18,2,Nurse,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Male,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.5
18_3,18,3,Other,Male,35-44,Yes,Yes,,,Yes,3.0,3.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
18_1,18,1,Nurse,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
180_2,180,2,Nurse,0.0,25-34,0.0,0.0,Approved absence,,No,,,,,,,,,,,1,,Uganda-2013,
180_3,180,3,Other,Male,45 or older,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,
180_1,180,1,Nurse,Male,25-34,Yes,Yes,,,Yes,,,,,,,,,,,1,,Uganda-2013,
181_2,181,2,Nurse,0.0,45 or older,Yes,Yes,,,Yes,2.0,2.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.5
181_5,181,5,Other,Male,25-34,0.0,0.0,Official mission,,No,,,,,,,,,,,1,,Uganda-2013,0.5
181_4,181,4,Other,0.0,25-34,Yes,Yes,,,Yes,4.0,4.0,Other,0.0,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.5
181_3,181,3,Other,Male,45 or older,Yes,Yes,,,Yes,3.0,3.0,Other,Male,0.0,Outreach,,,,,1,1.0,Uganda-2013,0.5
181_1,181,1,Nurse,0.0,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,Male,Yes,,,Completing encounter form or billing sheet,,0.0,1,1.0,Uganda-2013,0.5
182_1,182,1,Nurse,0.0,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,Yes,,,Reviewing or writing in cart,,0.0,1,1.0,Uganda-2013,0.0
182_2,182,2,Other,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.0
183_1,183,1,Nurse,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,Male,Yes,,,Interpreting laboratory work or radiographs,WAITING FOR PATIENTS,Yes,1,1.0,Uganda-2013,0.0
183_4,183,4,Other,Male,Younger than 25,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.0
183_3,183,3,Other,0.0,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.0
183_2,183,2,Nurse,0.0,25-34,Yes,0.0,Gone to retrieve salary,,Yes,2.0,2.0,Nurse,0.0,Yes,,,Interpreting laboratory work or radiographs,WAITING FOR PATIENTS,Yes,1,1.0,Uganda-2013,0.0
184_1,184,1,Other,0.0,35-44,Yes,Yes,,,Yes,,,,,,,,,,,1,,Uganda-2013,
184_2,184,2,Nurse,0.0,25-34,Yes,0.0,Approved absence,,Yes,,,,,,,,,,,1,,Uganda-2013,
185_2,185,2,Other,Male,25-34,Yes,0.0,Official mission,,Yes,2.0,2.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
185_1,185,1,Nurse,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,0.0,Other (to specify),BURIAL,,,,1,1.0,Uganda-2013,0.5
186_3,186,3,Other,0.0,25-34,0.0,Yes,,,No,3.0,3.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
186_1,186,1,Nurse,0.0,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.5
186_4,186,4,Other,Male,35-44,0.0,0.0,,,No,4.0,4.0,Other,Male,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.5
186_2,186,2,Nurse,0.0,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,0.0,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.5
187_2,187,2,Nurse,0.0,25-34,Yes,0.0,Sick/maternity,,Yes,2.0,2.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.33333334
187_1,187,1,Nurse,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,Yes,,,,,Yes,1,1.0,Uganda-2013,0.33333334
187_3,187,3,Other,0.0,35-44,Yes,0.0,Sick/maternity,,Yes,3.0,3.0,Other,0.0,Yes,,,Interpreting laboratory work or radiographs,AT STAFF QUATERS,Yes,1,1.0,Uganda-2013,0.33333334
188_2,188,2,Other,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,Male,0.0,Outreach,,,,,1,1.0,Uganda-2013,0.5
188_1,188,1,Nurse,0.0,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.5
189_1,189,1,Clinical Officer,Male,45 or older,,,,,,1.0,1.0,Clinical Officer,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5714286
189_4,189,4,Nurse,0.0,,,,,,,4.0,4.0,Nurse,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.5714286
189_6,189,6,Other,0.0,,,,,,,6.0,6.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.5714286
189_2,189,2,Nurse,0.0,,,,,,,2.0,2.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.5714286
189_7,189,7,Other,0.0,,,,,,,7.0,7.0,Other,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.5714286
189_3,189,3,Other,Male,,,,,,,3.0,3.0,Other,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.5714286
189_5,189,5,Nurse,0.0,,,,,,,5.0,5.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5714286
19_1,19,1,Nurse,Male,45 or older,0.0,,,,No,,,,,,,,,,,1,,Uganda-2013,0.0
19_7,19,7,Other,0.0,25-34,0.0,0.0,Approved absence,,No,,,,,,,,,,,1,,Uganda-2013,0.0
19_3,19,3,Nurse,0.0,25-34,Yes,0.0,Other (to specify),CLINICIAN HAS A SICK CHILD,Yes,1.0,3.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.0
19_6,19,6,Other,0.0,45 or older,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.0
19_8,19,8,Other,Male,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.0
19_2,19,2,Other,Male,45 or older,Yes,Yes,,,Yes,2.0,2.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.0
19_4,19,4,Other,0.0,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.0
19_5,19,5,Other,Male,35-44,0.0,0.0,Not approved Absence,,No,,,,,,,,,,,1,,Uganda-2013,0.0
190_2,190,2,Clinical Officer,0.0,25-34,Yes,Yes,,,Yes,2.0,2.0,Clinical Officer,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.8
190_4,190,4,Nurse,0.0,25-34,Yes,0.0,Not approved Absence,,Yes,4.0,4.0,Nurse,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.8
190_3,190,3,Nurse,0.0,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,0.0,,,,,,,1,1.0,Uganda-2013,0.8
190_8,190,8,Nurse,0.0,35-44,Yes,0.0,Gone to retrieve salary,,Yes,8.0,8.0,Nurse,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.8
190_5,190,5,Nurse,0.0,Younger than 25,Yes,Yes,,,Yes,5.0,5.0,Nurse,0.0,Yes,,,,,Yes,1,1.0,Uganda-2013,0.8
190_6,190,6,Other,0.0,35-44,Yes,0.0,12.0,,Yes,6.0,6.0,Other,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.8
190_1,190,1,Clinical Officer,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.8
190_7,190,7,Nurse,Male,25-34,Yes,0.0,Not approved Absence,,Yes,7.0,7.0,Nurse,Male,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.8
