fac_id,staff_id,q110_cadre,q111_gender,q112_age,q113_does_regularly_perform_outp,q114_is_currently_in_the_facilit,q115_reason_for_absence,q115_b_other_specify,q117_cadre,q118_gender,q119_currently_in_facility,q120_reason_for_absence,q120_b_other_specify,q121_current_activity,q121_b_other_specify,q122_experience_salary_delay,q116b
11645,4,Nurse,FEMALE,35-44,NO,YES,, ,Nurse,FEMALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,NO,4.0
11645,5,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,5.0
11645,6,Other,FEMALE,35-44,NO,NO,APPROVED ABSENCE, ,Other,FEMALE,NO,APPROVED ABSENCE, ,, ,,6.0
11645,7,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,OTHER (SPECIFY),DISPENSING DRUGS,NO,7.0
11654,1,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
11654,2,Other,MALE,25-34,NO,NO,APPROVED ABSENCE, ,Other,MALE,NO,APPROVED ABSENCE, ,, ,,2.0
11677,1,Clinical Officer,MALE,45 or older,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,YES,1.0
11677,2,Clinical Officer,MALE,45 or older,YES,NO,APPROVED ABSENCE, ,Clinical Officer,MALE,NO,APPROVED ABSENCE, ,, ,,2.0
11677,3,Nurse,MALE,35-44,YES,YES,, ,Nurse,MALE,YES,, ,REVIEWING OR WRITING IN CART, ,YES,3.0
11677,4,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,YES,4.0
11677,5,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,YES,5.0
11677,6,Nurse,MALE,35-44,YES,NO,APPROVED ABSENCE, ,Nurse,MALE,NO,APPROVED ABSENCE, ,, ,,6.0
11697,1,Clinical Officer,FEMALE,Younger than 25,YES,YES,, ,Clinical Officer,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
11697,2,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,NO,, ,, ,,2.0
11697,3,Nurse,FEMALE,35-44,YES,NO,IN TRAINING/SEMINAR, ,Nurse,FEMALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,NO,3.0
11697,4,Nurse,FEMALE,35-44,YES,NO,OFFICIAL MISSION, ,Nurse,FEMALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,NO,4.0
11697,5,Nurse,FEMALE,35-44,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,YES,5.0
11697,6,Other,FEMALE,35-44,NO,YES,, ,Other,FEMALE,YES,, ,"FINDING MISSING OR PENDING LABORATORY INFORMATION, RADIOGRAPHS OR CHARTS", ,YES,6.0
11697,7,Other,FEMALE,35-44,NO,NO,APPROVED ABSENCE, ,Other,FEMALE,NO,OTHER (SPECIFY),WAS LATE,, ,,7.0
11723,1,Nurse,MALE,25-34,YES,YES,, ,Nurse,MALE,NO,NOT HIS/HER SHIFT, ,, ,,1.0
11723,2,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,YES,, ,LOOKING UP MEDICAL INFORMATION, ,NO,2.0
11723,3,Nurse,MALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11723,4,Nurse,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,4.0
11723,5,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,5.0
11723,6,Nurse,FEMALE,35-44,YES,YES,, ,,,,,,,,,
11723,7,Nurse,FEMALE,Younger than 25,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,7.0
11723,8,Nurse,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,8.0
11723,9,Nurse,FEMALE,35-44,YES,YES,, ,,,,,,,,,
11723,10,Nurse,FEMALE,35-44,YES,NO,APPROVED ABSENCE, ,,,,,,,,,
11723,11,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,YES,11.0
11723,12,Other,MALE,25-34,NO,YES,, ,Other,MALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,YES,12.0
11723,13,Other,MALE,25-34,NO,YES,, ,Other,MALE,YES,, ,PERFORMING LABORATORY WORK, ,YES,13.0
11723,14,Other,MALE,35-44,NO,YES,, ,,,,,,,,,
11723,15,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,REVIEWING OR WRITING IN CART, ,YES,15.0
11740,1,Doctor,FEMALE,45 or older,YES,NO,IN TRAINING/SEMINAR, ,Doctor,FEMALE,NO,IN TRAINING/SEMINAR, ,, ,,1.0
11740,2,Clinical Officer,FEMALE,45 or older,YES,YES,, ,,,,,,,,,
11740,3,Clinical Officer,FEMALE,25-34,YES,YES,, ,,,,,,,,,
11740,4,Clinical Officer,FEMALE,35-44,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11740,5,Nurse,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,,,,,,,,,
11740,6,Clinical Officer,MALE,25-34,YES,YES,, ,,,,,,,,,
11740,7,Nurse,FEMALE,45 or older,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,YES,, ,OTHER (SPECIFY),STAFF CENSUS ACTIVITY,NO,7.0
11740,8,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,8.0
11740,9,Clinical Officer,MALE,35-44,YES,YES,, ,,,,,,,,,
11740,10,Clinical Officer,FEMALE,25-34,NO,YES,, ,,,,,,,,,
11740,11,Nurse,FEMALE,35-44,YES,YES,, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,11.0
11740,12,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,NO,12.0
11740,13,Nurse,FEMALE,45 or older,YES,NO,APPROVED ABSENCE, ,,,,,,,,,
11740,14,Nurse,FEMALE,35-44,YES,YES,, ,,,,,,,,,
11740,15,Nurse,FEMALE,35-44,YES,YES,, ,,,,,,,,,
11740,16,Nurse,FEMALE,25-34,NO,YES,, ,,,,,,,,,
11740,17,Nurse,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,17.0
11740,18,Nurse,FEMALE,45 or older,YES,YES,, ,,,,,,,,,
11740,19,Nurse,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,19.0
11740,20,Nurse,FEMALE,35-44,YES,YES,, ,,,,,,,,,
11740,21,Nurse,FEMALE,35-44,YES,NO,APPROVED ABSENCE, ,,,,,,,,,
11740,22,Nurse,FEMALE,45 or older,NO,YES,, ,,,,,,,,,
11740,23,Nurse,FEMALE,45 or older,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,23.0
11740,24,Nurse,FEMALE,35-44,YES,YES,, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,24.0
11740,25,Nurse,MALE,35-44,YES,YES,, ,Nurse,MALE,YES,, ,OTHER (SPECIFY),STAFF CENCUS ACTIVITY,NO,25.0
11758,1,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
11758,2,Nurse,MALE,45 or older,YES,NO,SICK/MATERNITY, ,Nurse,MALE,NO,OFFICIAL MISSION, ,, ,,2.0
11758,3,Other,MALE,25-34,NO,NO,APPROVED ABSENCE, ,Other,MALE,NO,APPROVED ABSENCE, ,, ,,3.0
11818,1,,MALE,45 or older,YES,YES,, ,,,,,,,,,
11818,2,,FEMALE,25-34,YES,YES,, ,,,,,,,,,
11818,3,Clinical Officer,FEMALE,25-34,YES,YES,, ,Clinical Officer,FEMALE,YES,, ,LOOKING UP MEDICAL INFORMATION, ,NO,3.0
11818,4,Clinical Officer,MALE,25-34,YES,NO,APPROVED ABSENCE, ,Clinical Officer,MALE,NO,APPROVED ABSENCE, ,, ,,4.0
11818,5,Clinical Officer,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,6,Clinical Officer,MALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,7,Clinical Officer,MALE,45 or older,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,7.0
11818,8,Clinical Officer,MALE,25-34,YES,YES,, ,,,,,,,,,
11818,9,Clinical Officer,MALE,25-34,YES,YES,, ,,,,,,,,,
11818,10,Nurse,FEMALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,11,Nurse,FEMALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,12,Nurse,MALE,25-34,NO,YES,, ,,,,,,,,,
11818,13,Nurse,FEMALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,14,Nurse,MALE,25-34,NO,YES,, ,,,,,,,,,
11818,15,Nurse,FEMALE,35-44,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,16,Nurse,FEMALE,35-44,NO,YES,, ,,,,,,,,,
11818,17,Nurse,MALE,25-34,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,18,Nurse,FEMALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,19,Nurse,MALE,35-44,NO,YES,, ,,,,,,,,,
11818,20,Nurse,MALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,21,Nurse,FEMALE,Younger than 25,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,22,Nurse,FEMALE,25-34,NO,YES,, ,,,,,,,,,
11818,23,Nurse,MALE,45 or older,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,24,Nurse,MALE,25-34,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,25,Nurse,FEMALE,Younger than 25,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,26,Nurse,FEMALE,Younger than 25,NO,YES,, ,Nurse,FEMALE,NO,OFFICIAL MISSION, ,, ,,26.0
11818,27,Nurse,MALE,25-34,NO,NO,APPROVED ABSENCE, ,Nurse,MALE,NO,NOT HIS/HER SHIFT, ,, ,,27.0
11818,28,Nurse,FEMALE,25-34,NO,YES,, ,,,,,,,,,
11818,29,Nurse,MALE,Younger than 25,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,30,Nurse,FEMALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,31,Nurse,MALE,25-34,NO,YES,, ,,,,,,,,,
11818,32,Nurse,MALE,45 or older,NO,YES,, ,,,,,,,,,
11818,33,Nurse,FEMALE,25-34,NO,NO,ON STRIKE, ,Nurse,FEMALE,NO,ON STRIKE, ,, ,,33.0
11818,34,Nurse,MALE,35-44,NO,YES,, ,,,,,,,,,
11818,35,Nurse,MALE,35-44,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,36,Nurse,MALE,35-44,NO,YES,, ,,,,,,,,,
11818,37,Nurse,FEMALE,35-44,NO,NO,APPROVED ABSENCE, ,Nurse,FEMALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,37.0
11818,38,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,39,Nurse,MALE,Younger than 25,NO,YES,, ,,,,,,,,,
11818,40,Nurse,MALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,41,Nurse,MALE,35-44,NO,NO,ON STRIKE, ,Nurse,MALE,NO,ON STRIKE, ,, ,,41.0
11818,42,Nurse,MALE,35-44,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,43,Nurse,MALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,44,Nurse,MALE,35-44,NO,YES,, ,,,,,,,,,
11818,45,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11818,46,Nurse,FEMALE,35-44,NO,YES,, ,,,,,,,,,
11818,47,Nurse,FEMALE,35-44,NO,NO,SICK/MATERNITY, ,Nurse,FEMALE,NO,SICK/MATERNITY, ,, ,,47.0
11818,48,Nurse,FEMALE,Younger than 25,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,48.0
11818,49,Nurse,MALE,25-34,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11818,50,Nurse,FEMALE,Younger than 25,NO,YES,, ,,,,,,,,,
11831,1,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,NO,OFFICIAL MISSION, ,, ,,1.0
11831,2,Clinical Officer,FEMALE,25-34,YES,YES,, ,Clinical Officer,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,2.0
11831,3,Nurse,FEMALE,45 or older,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,YES,, ,COMPLETING FORMS, ,NO,3.0
11831,4,Nurse,FEMALE,25-34,YES,NO,SICK/MATERNITY, ,Nurse,FEMALE,NO,SICK/MATERNITY, ,, ,,4.0
11831,5,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,NO,IN TRAINING/SEMINAR, ,, ,,5.0
11831,6,Nurse,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,SICK/MATERNITY, ,, ,,6.0
11831,7,Other,MALE,25-34,NO,YES,, ,Other,MALE,NO,OFFICIAL MISSION, ,, ,,7.0
11861,1,Clinical Officer,MALE,25-34,YES,NO,APPROVED ABSENCE, ,,,,,,,,,
11861,2,Clinical Officer,FEMALE,35-44,YES,YES,, ,Clinical Officer,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,2.0
11861,3,Clinical Officer,FEMALE,35-44,YES,YES,, ,Clinical Officer,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,3.0
11861,4,Clinical Officer,FEMALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,Clinical Officer,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,4.0
11861,5,Clinical Officer,MALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11861,6,Clinical Officer,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,Clinical Officer,FEMALE,NO,APPROVED ABSENCE, ,, ,,6.0
11861,7,Clinical Officer,MALE,25-34,YES,NO,APPROVED ABSENCE, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,7.0
11861,8,Clinical Officer,MALE,35-44,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,8.0
11861,9,Clinical Officer,FEMALE,25-34,YES,YES,, ,,,,,,,,,
11861,10,Clinical Officer,FEMALE,35-44,YES,YES,, ,Clinical Officer,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,10.0
11861,11,Clinical Officer,MALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11861,12,Nurse,FEMALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11861,13,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,NO,13.0
11861,14,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11861,15,Nurse,MALE,,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11861,16,Nurse,FEMALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,16.0
11861,17,Nurse,FEMALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11861,18,Nurse,FEMALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
11861,19,Nurse,FEMALE,35-44,NO,NO,SICK/MATERNITY, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,19.0
11861,20,Doctor,MALE,35-44,YES,YES,, ,,,,,,,,,
11861,21,Doctor,FEMALE,25-34,YES,NO,OFFICIAL MISSION, ,,,,,,,,,
11861,22,Other,FEMALE,25-34,YES,NO,SICK/MATERNITY, ,,,,,,,,,
11861,23,Other,MALE,25-34,YES,YES,, ,,,,,,,,,
11881,1,Clinical Officer,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,,,,,,,,,
11881,2,Clinical Officer,MALE,45 or older,YES,YES,, ,Clinical Officer,MALE,NO,APPROVED ABSENCE, ,, ,,2.0
11881,3,Nurse,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,IN TRAINING/SEMINAR, ,, ,,3.0
11881,4,Nurse,FEMALE,25-34,YES,YES,, ,,,,,,,,,
11881,5,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,NO,OFFICIAL MISSION, ,, ,,5.0
11881,6,Nurse,FEMALE,25-34,YES,YES,, ,,,,,,,,,
11881,7,Nurse,MALE,25-34,NO,YES,, ,,,,,,,,,
11881,8,Nurse,MALE,25-34,NO,NO,APPROVED ABSENCE, ,Nurse,MALE,YES,, ,COMPLETING ENCOUNTER FORM OR BILLING SHEET, ,NO,8.0
11881,9,Nurse,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,9.0
11881,10,Nurse,MALE,35-44,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
11881,11,Other,MALE,25-34,NO,YES,, ,Other,MALE,NO,APPROVED ABSENCE, ,, ,,11.0
11881,12,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,NO,OFFICIAL MISSION, ,, ,,12.0
11881,13,Other,MALE,25-34,NO,YES,, ,Other,MALE,NO,APPROVED ABSENCE, ,, ,,13.0
11881,14,Nurse,FEMALE,25-34,NO,YES,, ,Nurse,FEMALE,NO,OFFICIAL MISSION, ,, ,,14.0
11881,15,Nurse,FEMALE,Younger than 25,YES,YES,, ,Nurse,FEMALE,NO,OFFICIAL MISSION, ,, ,,15.0
11881,16,Nurse,FEMALE,25-34,YES,YES,, ,,,,,,,,,
11961,1,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
11961,2,Nurse,FEMALE,35-44,YES,YES,, ,Nurse,FEMALE,YES,, ,, ,NO,2.0
11961,3,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,3.0
11961,4,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,NO,APPROVED ABSENCE, ,, ,,4.0
11961,5,Other,MALE,25-34,NO,NO,OFFICIAL MISSION, ,Other,MALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,5.0
11961,6,Other,MALE,35-44,NO,NO,APPROVED ABSENCE, ,Other,MALE,YES,, ,OTHER (SPECIFY),ARRANGING DRUGS,NO,6.0
11962,1,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,WRITING A PRESCRIPTION, ,NO,1.0
11962,2,Nurse,MALE,25-34,YES,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,2.0
11962,3,Other,MALE,35-44,NO,NO,APPROVED ABSENCE, ,Other,MALE,NO,APPROVED ABSENCE, ,, ,,3.0
11962,4,Other,MALE,35-44,NO,YES,, ,Other,MALE,YES,, ,COMPLETING FORMS, ,NO,4.0
11962,5,Other,MALE,45 or older,NO,NO,APPROVED ABSENCE, ,Other,MALE,NO,APPROVED ABSENCE, ,, ,,5.0
11962,6,Nurse,FEMALE,45 or older,YES,NO,OFFICIAL MISSION, ,Nurse,FEMALE,NO,OFFICIAL MISSION, ,, ,,6.0
11962,7,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,NO,OFFICIAL MISSION, ,, ,,7.0
12018,1,Clinical Officer,FEMALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,Clinical Officer,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,1.0
12018,2,Clinical Officer,FEMALE,Younger than 25,YES,YES,, ,Clinical Officer,FEMALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,2.0
12018,3,Nurse,FEMALE,25-34,NO,YES,, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,3.0
12018,4,Nurse,FEMALE,25-34,NO,YES,, ,Nurse,FEMALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,4.0
12018,5,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,COMPLETING ENCOUNTER FORM OR BILLING SHEET, ,NO,5.0
12150,1,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,CHECKING SCHEDULE, ,NO,1.0
12150,2,Other,MALE,25-34,NO,YES,, ,Other,MALE,YES,, ,COMPLETING FORMS, ,NO,2.0
12150,3,Nurse,MALE,25-34,YES,NO,IN TRAINING/SEMINAR, ,Nurse,MALE,YES,, ,COMPLETING FORMS, ,NO,3.0
12150,4,Other,FEMALE,Younger than 25,NO,YES,, ,Other,FEMALE,YES,, ,COMPLETING FORMS, ,NO,4.0
12191,1,Clinical Officer,FEMALE,25-34,YES,YES,, ,Clinical Officer,FEMALE,YES,, ,OTHER (SPECIFY),WAITING FOR PATIENTS,NO,1.0
12191,2,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,REVIEWING OR WRITING IN CART, ,NO,2.0
12191,3,Nurse,FEMALE,25-34,NO,YES,, ,Nurse,FEMALE,NO,, ,, ,,3.0
12191,4,Other,MALE,25-34,NO,YES,, ,Other,MALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,4.0
12191,5,Other,FEMALE,45 or older,NO,YES,, ,Other,FEMALE,YES,, ,COMPLETING FORMS, ,NO,5.0
12207,1,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,1.0
12207,2,Nurse,FEMALE,45 or older,YES,NO,OFFICIAL MISSION, ,Nurse,FEMALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,NO,2.0
12207,3,Nurse,FEMALE,35-44,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,IN TRAINING/SEMINAR, ,, ,,3.0
12207,4,Other,MALE,25-34,NO,NO,APPROVED ABSENCE, ,Other,MALE,NO,APPROVED ABSENCE, ,, ,,4.0
12236,1,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,COMPLETING FORMS, ,NO,1.0
12236,2,Clinical Officer,FEMALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,Clinical Officer,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,2.0
12236,3,Nurse,MALE,45 or older,YES,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,3.0
12236,4,Nurse,FEMALE,,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,4.0
12236,5,Nurse,FEMALE,,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,5.0
12236,6,Nurse,FEMALE,,YES,YES,, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,6.0
12236,7,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,7.0
12236,8,Nurse,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,8.0
12236,9,Other,MALE,,NO,YES,, ,Other,MALE,NO,APPROVED ABSENCE, ,, ,,9.0
12236,10,Other,MALE,Younger than 25,NO,YES,, ,Other,MALE,YES,, ,INTERPRETING LABORATORY WORK OR RADIOGRAPHS, ,NO,10.0
12255,1,Nurse,FEMALE,35-44,YES,YES,, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,1.0
12255,2,Doctor,FEMALE,25-34,YES,YES,, ,Doctor,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,2.0
12255,3,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,NO,IN TRAINING/SEMINAR, ,, ,,3.0
12255,4,Nurse,FEMALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,4.0
12255,5,Nurse,MALE,25-34,YES,YES,, ,Nurse,MALE,NO,NOT HIS/HER SHIFT, ,, ,,5.0
12255,6,Nurse,MALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,Nurse,MALE,NO,NOT HIS/HER SHIFT, ,, ,,6.0
12255,7,Nurse,FEMALE,45 or older,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
12255,8,Nurse,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,YES,, ,CHECKING SCHEDULE, ,NO,8.0
12255,9,Nurse,MALE,45 or older,YES,NO,APPROVED ABSENCE, ,Nurse,MALE,YES,, ,REVIEWING OR WRITING IN CART, ,NO,9.0
12255,10,Other,FEMALE,25-34,NO,NO,APPROVED ABSENCE, ,Other,FEMALE,NO,APPROVED ABSENCE, ,, ,,10.0
12255,11,Other,MALE,45 or older,NO,YES,, ,Other,MALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,11.0
12258,1,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
12258,2,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,YES,, ,REVIEWING OR WRITING IN CART, ,YES,2.0
12406,1,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
12406,2,Nurse,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,2.0
