fac_id,staff_id,mod1_id,m1s0q4_2,m1s2q4,m1s2q5,m1s2q6,m1s2q7,m1s2q9,m1s2q10,m1s2q10_a,m1s2q1,strate,weight_m1p,mod2_id,m2s0q1_2,m2s0q2_2,m2s0q3_2,m2s0q4_2,m2s0q7_1,m2s0q7_2,m2s0q7_3,m2s0q7_5,m2s0q7_6,m2s0q7_7,m2s0q10,m2s1q2,m2s1q3,m2s1q4,m2s1q5,m2s1q6,m2s1q7,m2s1q13,m2s1q14,m2s1q15,m2s1q16,m2s1q17,weight_m2,mod3_id,m3s0q1_2,m3s0q2_2,m3s0q3_2,m3s0q4_2,m3s0q7_1,m3s0q7_2,m3s0q7_3,m3s0q7_5,m3s0q7_6,m3s0q7_7,m3s0q8_h,m3s0q8_mn,m3s0q9_h,m3s0q9_mn,m3s1q2,m3s1q3,m3s1q3_a,weight_m3
64,2,2,14,Other,Femme,45 or older,Non,Oui,,,5 or less,1,5.420559,2.0,91.0,1.0,4.0,14.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,2.0,oui,Other,45 or older,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,21.682236,2.0,92.0,1.0,4.0,14.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,9.0,36.0,9.0,45.0,Oui,,,21.682236
64,3,2,14,Other,Femme,35-44,Non,Oui,,,5 or less,1,5.420559,2.0,91.0,1.0,4.0,14.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,3.0,oui,Other,35-44,Post-Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,21.682236,2.0,92.0,1.0,4.0,14.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,9.0,36.0,9.0,45.0,Oui,,,21.682236
64,1,2,14,Nurse,Femme,45 or older,Non,Non,Pas sa période de travail,,5 or less,1,5.420559,2.0,91.0,1.0,4.0,14.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,1.0,non,Nurse,45 or older,Primary,After 2000,Ne sait pas,Non,Ne sait pas,Non,2ieme,21.682236,2.0,92.0,1.0,4.0,14.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,9.0,36.0,9.0,45.0,Oui,,,21.682236
65,1,48,60,Nurse,Homme,35-44,Oui,Non,En mission officielle,,5 or less,10,14.00322,48.0,62.0,5.0,18.0,60.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,1.0,non,Nurse,35-44,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,2ieme,56.01288,48.0,62.0,5.0,18.0,60.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,10.0,37.0,10.0,43.0,Oui,,,56.01288
65,2,48,60,Nurse,Femme,25-34,Non,Oui,,,5 or less,10,14.00322,48.0,62.0,5.0,18.0,60.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Nurse,25-34,Secondary,After 2000,0.0,Non,0.0,Oui,1ere,56.01288,48.0,62.0,5.0,18.0,60.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,10.0,37.0,10.0,43.0,Oui,,,56.01288
65,0,48,60,Other,Homme,35-44,Oui,Oui,,,5 or less,10,14.00322,48.0,62.0,5.0,18.0,60.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Other,35-44,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,56.01288,48.0,62.0,5.0,18.0,60.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,10.0,37.0,10.0,43.0,Oui,,,56.01288
65,3,48,60,Other,Homme,25-34,Oui,Oui,,,5 or less,10,14.00322,48.0,62.0,5.0,18.0,60.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,3.0,oui,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,56.01288,48.0,62.0,5.0,18.0,60.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,10.0,37.0,10.0,43.0,Oui,,,56.01288
66,3,36,53,Nurse,Femme,25-34,Non,Oui,,,5 or less,8,17.662157,36.0,62.0,4.0,14.0,53.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Other,Younger than 25,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,70.64863,36.0,61.0,4.0,14.0,53.0,Questionnaire complet,Oui,62.0,Questionnaire complet,Oui,2.0,12.0,53.0,13.0,7.0,Oui,,,70.64863
66,2,36,53,Other,Homme,Younger than 25,Non,Oui,,,5 or less,8,17.662157,36.0,62.0,4.0,14.0,53.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,3.0,oui,Nurse,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,70.64863,36.0,61.0,4.0,14.0,53.0,Questionnaire complet,Oui,62.0,Questionnaire complet,Oui,2.0,12.0,53.0,13.0,7.0,Oui,,,70.64863
66,1,36,53,Nurse,Femme,25-34,Oui,Oui,,,5 or less,8,17.662157,36.0,62.0,4.0,14.0,53.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,70.64863,36.0,61.0,4.0,14.0,53.0,Questionnaire complet,Oui,62.0,Questionnaire complet,Oui,2.0,12.0,53.0,13.0,7.0,Oui,,,70.64863
66,0,36,53,Nurse,Homme,45 or older,Oui,Oui,,,5 or less,8,17.662157,36.0,62.0,4.0,14.0,53.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,70.64863,36.0,61.0,4.0,14.0,53.0,Questionnaire complet,Oui,62.0,Questionnaire complet,Oui,2.0,12.0,53.0,13.0,7.0,Oui,,,70.64863
67,1,53,42,Other,Homme,35-44,Non,Oui,,,5 or less,6,5.8988733,53.0,41.0,3.0,8.0,42.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Other,35-44,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,23.595493,53.0,41.0,3.0,8.0,42.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,15.0,0.0,15.0,30.0,Oui,,,23.595493
67,0,53,42,Nurse,Homme,35-44,Oui,Oui,,,5 or less,6,5.8988733,53.0,41.0,3.0,8.0,42.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,35-44,Post-Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,23.595493,53.0,41.0,3.0,8.0,42.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,15.0,0.0,15.0,30.0,Oui,,,23.595493
67,3,53,42,Other,Femme,45 or older,Non,Oui,,,5 or less,6,5.8988733,53.0,41.0,3.0,8.0,42.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,3.0,oui,Other,45 or older,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,23.595493,53.0,41.0,3.0,8.0,42.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,15.0,0.0,15.0,30.0,Oui,,,23.595493
67,2,53,42,Other,Femme,45 or older,Non,Oui,,,5 or less,6,5.8988733,53.0,41.0,3.0,8.0,42.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Other,45 or older,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,23.595493,53.0,41.0,3.0,8.0,42.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,15.0,0.0,15.0,30.0,Oui,,,23.595493
68,1,57,63,Other,Femme,25-34,Oui,Oui,,,5 or less,9,6.934945,57.0,62.0,5.0,17.0,63.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,27.73978,57.0,62.0,5.0,17.0,63.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,9.0,11.0,9.0,18.0,Oui,,,27.73978
68,0,57,63,Nurse,Femme,25-34,Oui,Oui,,,5 or less,9,6.934945,57.0,62.0,5.0,17.0,63.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,22.0,Non,10.0,Oui,1ere,27.73978,57.0,62.0,5.0,17.0,63.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,9.0,11.0,9.0,18.0,Oui,,,27.73978
68,3,57,63,Other,Femme,35-44,Non,Oui,,,5 or less,9,6.934945,57.0,62.0,5.0,17.0,63.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,3.0,oui,Other,35-44,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,27.73978,57.0,62.0,5.0,17.0,63.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,9.0,11.0,9.0,18.0,Oui,,,27.73978
68,2,57,63,Other,Femme,25-34,Oui,Oui,,,5 or less,9,6.934945,57.0,62.0,5.0,17.0,63.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Other,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,27.73978,57.0,62.0,5.0,17.0,63.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,9.0,11.0,9.0,18.0,Oui,,,27.73978
69,3,46,54,Nurse,Femme,25-34,Non,Non,En mission officielle,,5 or less,8,5.8721647,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,3.0,non,Nurse,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,29.360825,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,12.0,0.0,12.0,5.0,Oui,,,29.360825
69,2,46,54,Nurse,Femme,45 or older,Non,Non,Pas sa période de travail,,5 or less,8,5.8721647,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,2.0,non,Nurse,45 or older,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,29.360825,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,12.0,0.0,12.0,5.0,Oui,,,29.360825
69,0,46,54,Nurse,Homme,35-44,Oui,Oui,,,5 or less,8,5.8721647,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,35-44,Post-Secondary,After 2000,0.0,Non,0.0,Non,1ere,29.360825,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,12.0,0.0,12.0,5.0,Oui,,,29.360825
69,4,46,54,Nurse,Femme,45 or older,Non,Oui,,,5 or less,8,5.8721647,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,4.0,oui,Nurse,45 or older,Primary,Before 1990,0.0,Oui,0.0,Oui,1ere,29.360825,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,12.0,0.0,12.0,5.0,Oui,,,29.360825
69,1,46,54,Other,Homme,35-44,Oui,Oui,,,5 or less,8,5.8721647,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Other,35-44,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,29.360825,46.0,51.0,4.0,16.0,54.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,12.0,0.0,12.0,5.0,Oui,,,29.360825
70,3,90,83,Nurse,Femme,,Non,Non,Pas sa période de travail,,6-10,15,11.252437,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,3.0,non,Nurse,,,,,,,,1ere,101.27193,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,15.0,Non,Pas sa période de travail,,101.27193
70,5,90,83,Nurse,Femme,,Non,Non,Autre (à spécifier),MISE EN PIED,6-10,15,11.252437,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,5.0,non,Nurse,,,,,,,,1ere,101.27193,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,15.0,Non,Autre,MISE A PIED,101.27193
70,2,90,83,Other,Homme,45 or older,Non,Oui,,,6-10,15,11.252437,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Other,45 or older,Secondary,Before 1990,10.0,Oui,10.0,Oui,1ere,101.27193,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,15.0,Oui,,,101.27193
70,1,90,83,Other,Homme,45 or older,Non,Oui,,,6-10,15,11.252437,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Other,45 or older,Secondary,Before 1990,7.0,Oui,7.0,Oui,1ere,101.27193,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,15.0,Oui,,,101.27193
70,8,90,83,Nurse,Femme,45 or older,Non,Oui,,,6-10,15,11.252437,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,8.0,oui,Nurse,45 or older,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,101.27193,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,15.0,Oui,,,101.27193
70,6,90,83,Nurse,Femme,,Non,Non,Congés maladie/maternité,,6-10,15,11.252437,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,6.0,non,Nurse,,,,,,,,1ere,101.27193,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,15.0,Non,Congés maladie/maternité,,101.27193
70,7,90,83,Nurse,Femme,45 or older,Non,Oui,,,6-10,15,11.252437,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,7.0,oui,Nurse,45 or older,Secondary,Before 1990,10.0,Oui,7.0,Oui,1ere,101.27193,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,15.0,Oui,,,101.27193
70,4,90,83,Nurse,Femme,,Non,Non,Autre (à spécifier),MISE A PIED,6-10,15,11.252437,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,4.0,non,Nurse,,,,,,,,1ere,101.27193,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,15.0,Non,Autre,MISE A PIED,101.27193
70,0,90,83,Nurse,Homme,45 or older,Oui,Oui,,,6-10,15,11.252437,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,101.27193,90.0,21.0,8.0,29.0,83.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,15.0,Oui,,,101.27193
71,1,85,68,Nurse,Femme,45 or older,Non,Non,Autre (à spécifier),PARENT MALADE,5 or less,12,14.945359,85.0,21.0,6.0,22.0,68.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,1.0,non,Nurse,45 or older,,,,,,,1ere,59.781437,85.0,21.0,6.0,22.0,68.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,13.0,39.0,14.0,22.0,Non,Absence approuvée,,59.781437
71,3,85,68,Other,Homme,25-34,Non,Oui,,,5 or less,12,14.945359,85.0,21.0,6.0,22.0,68.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,3.0,oui,Other,25-34,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,59.781437,85.0,21.0,6.0,22.0,68.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,13.0,39.0,14.0,22.0,Oui,,,59.781437
71,2,85,68,Other,Homme,25-34,Non,Oui,,,5 or less,12,14.945359,85.0,21.0,6.0,22.0,68.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Other,25-34,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,59.781437,85.0,21.0,6.0,22.0,68.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,13.0,39.0,14.0,22.0,Oui,,,59.781437
71,0,85,68,Nurse,Homme,45 or older,Oui,Oui,,,5 or less,12,14.945359,85.0,21.0,6.0,22.0,68.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,59.781437,85.0,21.0,6.0,22.0,68.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,13.0,39.0,14.0,22.0,Oui,,,59.781437
72,1,143,32,Other,Homme,45 or older,Non,Oui,,,5 or less,4,4.2759876,143.0,82.0,2.0,5.0,32.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Other,45 or older,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,21.379938,143.0,81.0,2.0,5.0,32.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,8.0,10.0,8.0,30.0,Oui,,,21.379938
72,3,143,32,Nurse,Femme,45 or older,Non,Oui,,,5 or less,4,4.2759876,143.0,82.0,2.0,5.0,32.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,Oui,3.0,oui,Nurse,45 or older,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,21.379938,143.0,81.0,2.0,5.0,32.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,8.0,10.0,8.0,30.0,Oui,,,21.379938
72,0,143,32,Nurse,Femme,35-44,Oui,Oui,,,5 or less,4,4.2759876,143.0,82.0,2.0,5.0,32.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Nurse,35-44,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,21.379938,143.0,81.0,2.0,5.0,32.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,8.0,10.0,8.0,30.0,Oui,,,21.379938
72,2,143,32,Nurse,Femme,35-44,Non,Non,Congés maladie/maternité,,5 or less,4,4.2759876,143.0,82.0,2.0,5.0,32.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,Oui,2.0,non,Nurse,35-44,,,,,,,1ere,21.379938,143.0,81.0,2.0,5.0,32.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,8.0,10.0,8.0,30.0,Non,Congés maladie/maternité,,21.379938
72,4,143,32,Nurse,Femme,35-44,Non,Non,Pas sa période de travail,,5 or less,4,4.2759876,143.0,82.0,2.0,5.0,32.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,Oui,4.0,non,Nurse,35-44,,,,,,,1ere,21.379938,143.0,81.0,2.0,5.0,32.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,8.0,10.0,8.0,30.0,Non,Absence non-approuvée,,21.379938
73,0,68,81,Nurse,Homme,25-34,Oui,Oui,,,5 or less,15,33.799633,68.0,21.0,8.0,27.0,81.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,135.19853,68.0,21.0,8.0,27.0,81.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,6.0,12.0,29.0,Oui,,,135.19853
73,2,68,81,Nurse,Femme,25-34,Non,Oui,,,5 or less,15,33.799633,68.0,21.0,8.0,27.0,81.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,135.19853,68.0,21.0,8.0,27.0,81.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,6.0,12.0,29.0,Oui,,,135.19853
73,1,68,81,Other,Homme,,Non,Non,Absence approuvée,,5 or less,15,33.799633,68.0,21.0,8.0,27.0,81.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,1.0,non,Other,,,,,,,,1ere,135.19853,68.0,21.0,8.0,27.0,81.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,6.0,12.0,29.0,Non,Absence approuvée,,135.19853
73,3,68,81,Nurse,Femme,25-34,Non,Oui,,,5 or less,15,33.799633,68.0,21.0,8.0,27.0,81.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,3.0,oui,Nurse,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,135.19853,68.0,21.0,8.0,27.0,81.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,12.0,6.0,12.0,29.0,Oui,,,135.19853
74,0,3,6,Nurse,Femme,45 or older,Oui,Oui,,,6-10,1,4.428247,3.0,72.0,1.0,1.0,6.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,30.997728,3.0,71.0,1.0,1.0,6.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,10.0,0.0,10.0,15.0,Oui,,,30.997728
74,1,3,6,Nurse,Femme,25-34,Oui,Non,Pas sa période de travail,,6-10,1,4.428247,3.0,72.0,1.0,1.0,6.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,Oui,1.0,non,Nurse,25-34,,,,,,,1ere,30.997728,3.0,71.0,1.0,1.0,6.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,10.0,0.0,10.0,15.0,Non,Absence approuvée,,30.997728
74,6,3,6,Other,Homme,35-44,Non,Non,Absence approuvée,,6-10,1,4.428247,3.0,72.0,1.0,1.0,6.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,Oui,6.0,non,Other,35-44,,,,,,,1ere,30.997728,3.0,71.0,1.0,1.0,6.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,10.0,0.0,10.0,15.0,Non,Absence approuvée,,30.997728
74,2,3,6,Nurse,Femme,45 or older,Oui,Oui,,,6-10,1,4.428247,3.0,72.0,1.0,1.0,6.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,Oui,2.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,Ne sait pas,Oui,Ne sait pas,Oui,1ere,30.997728,3.0,71.0,1.0,1.0,6.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,10.0,0.0,10.0,15.0,Oui,,,30.997728
74,3,3,6,Other,Femme,45 or older,Non,Oui,,,6-10,1,4.428247,3.0,72.0,1.0,1.0,6.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,Oui,3.0,oui,Other,45 or older,Secondary,Before 1990,0.0,Oui,Ne sait pas,Oui,1ere,30.997728,3.0,71.0,1.0,1.0,6.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,10.0,0.0,10.0,15.0,Oui,,,30.997728
74,5,3,6,Other,Femme,35-44,Non,Oui,,,6-10,1,4.428247,3.0,72.0,1.0,1.0,6.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,Oui,5.0,oui,Other,35-44,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,30.997728,3.0,71.0,1.0,1.0,6.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,10.0,0.0,10.0,15.0,Oui,,,30.997728
74,4,3,6,Other,Femme,35-44,Non,Non,Absence approuvée,,6-10,1,4.428247,3.0,72.0,1.0,1.0,6.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,Oui,4.0,non,Other,35-44,,,0.0,Oui,Ne sait pas,Oui,1ere,30.997728,3.0,71.0,1.0,1.0,6.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,10.0,0.0,10.0,15.0,Non,Absence approuvée,,30.997728
75,3,24,21,Other,Femme,45 or older,Non,Oui,,,5 or less,1,5.420559,24.0,62.0,1.0,4.0,21.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,3.0,oui,Other,45 or older,Post-Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,27.102795,24.0,61.0,1.0,4.0,21.0,Questionnaire complet,Oui,62.0,Questionnaire complet,Oui,2.0,9.0,15.0,10.0,5.0,Oui,,,27.102795
75,4,24,21,Other,Femme,25-34,Non,Oui,,,5 or less,1,5.420559,24.0,62.0,1.0,4.0,21.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,4.0,oui,Other,25-34,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,27.102795,24.0,61.0,1.0,4.0,21.0,Questionnaire complet,Oui,62.0,Questionnaire complet,Oui,2.0,9.0,15.0,10.0,5.0,Non,Absence non-approuvée,,27.102795
75,0,24,21,Nurse,Homme,45 or older,Oui,Oui,,,5 or less,1,5.420559,24.0,62.0,1.0,4.0,21.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,27.102795,24.0,61.0,1.0,4.0,21.0,Questionnaire complet,Oui,62.0,Questionnaire complet,Oui,2.0,9.0,15.0,10.0,5.0,Non,Parti récupérer son salaire,,27.102795
75,1,24,21,Other,Femme,45 or older,Non,Oui,,,5 or less,1,5.420559,24.0,62.0,1.0,4.0,21.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Other,45 or older,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,27.102795,24.0,61.0,1.0,4.0,21.0,Questionnaire complet,Oui,62.0,Questionnaire complet,Oui,2.0,9.0,15.0,10.0,5.0,Non,Absence non-approuvée,,27.102795
75,2,24,21,Other,Homme,35-44,Oui,Oui,,,5 or less,1,5.420559,24.0,62.0,1.0,4.0,21.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Other,35-44,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,27.102795,24.0,61.0,1.0,4.0,21.0,Questionnaire complet,Oui,62.0,Questionnaire complet,Oui,2.0,9.0,15.0,10.0,5.0,Oui,,,27.102795
