unique_id,fac_id,staff_id,mod1_id,m1s0q4_2,m1s2q4,m1s2q5,m1s2q6,m1s2q7,m1s2q9,m1s2q10,m1s2q10_a,m1s2q1,mod2_id,m2s0q1_2,m2s0q2_2,m2s0q3_2,m2s0q4_2,m2s0q7_1,m2s0q7_2,m2s0q7_3,m2s0q7_5,m2s0q7_6,m2s0q7_7,m2s0q10,m2s1q2,m2s1q3,m2s1q4,m2s1q5,m2s1q6,m2s1q7,m2s1q13,m2s1q14,m2s1q15,m2s1q16,m2s1q17,abs_wt,mod3_id,m3s0q1_2,m3s0q2_2,m3s0q3_2,m3s0q4_2,m3s0q7_1,m3s0q7_2,m3s0q7_3,m3s0q7_5,m3s0q7_6,m3s0q7_7,m3s0q8_h,m3s0q8_mn,m3s0q9_h,m3s0q9_mn,m3s1q2,m3s1q3,m3s1q3_a,has_roster,has_absentee,has_absentee2,country,absence_rate,absence_rate2
126_2,126,2,83,72,Nurse,0,45 or older,Oui,Oui,,,5 or less,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Nurse,45 or older,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,89.140686,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,30.0,10.0,11.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2,0.2
126_1,126,1,83,72,Nurse,0,,Oui,0,Congés maladie/maternité,,5 or less,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,1.0,0.0,Nurse,,,,,,,,1ere,89.140686,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,30.0,10.0,11.0,0.0,Congés maladie/maternité,,1,1.0,1.0,Senegal-2010,0.2,0.2
126_0,126,0,83,72,Nurse,0,25-34,Oui,Oui,,,5 or less,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,3.0,Oui,0.0,Oui,1ere,89.140686,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,30.0,10.0,11.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2,0.2
126_3,126,3,83,72,Nurse,0,45 or older,0,Oui,,,5 or less,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,3.0,oui,Nurse,45 or older,Primary,Before 1990,0.0,Oui,0.0,Oui,1ere,89.140686,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,30.0,10.0,11.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2,0.2
126_4,126,4,83,72,Other,Homme,25-34,0,Oui,,,5 or less,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,4.0,oui,Other,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,89.140686,83.0,22.0,6.0,20.0,72.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,30.0,10.0,11.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2,0.2
127_3,127,3,151,74,Nurse,0,45 or older,0,Oui,,,6-10,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,Oui,3.0,oui,Nurse,45 or older,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,41.609673,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,9.0,25.0,9.0,40.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.16666667
127_4,127,4,151,74,Nurse,0,45 or older,0,Oui,,,6-10,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,Oui,4.0,oui,Nurse,45 or older,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,41.609673,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,9.0,25.0,9.0,40.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.16666667
127_5,127,5,151,74,Other,Homme,45 or older,0,Oui,,,6-10,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,Oui,5.0,oui,Other,45 or older,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,41.609673,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,9.0,25.0,9.0,40.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.16666667
127_0,127,0,151,74,Nurse,0,35-44,Oui,Oui,,,6-10,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Nurse,35-44,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,41.609673,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,9.0,25.0,9.0,40.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.16666667
127_1,127,1,151,74,Other,Homme,35-44,0,Oui,,,6-10,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Other,35-44,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,41.609673,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,9.0,25.0,9.0,40.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.16666667
127_2,127,2,151,74,Nurse,0,45 or older,0,Oui,,,6-10,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,Oui,2.0,oui,Nurse,45 or older,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,41.609673,151.0,12.0,5.0,17.0,74.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,9.0,25.0,9.0,40.0,0.0,12.0,,1,1.0,1.0,Senegal-2010,0.0,0.16666667
128_1,128,1,120,90,Other,Homme,25-34,0,0,Absence approuvée,,5 or less,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,1.0,0.0,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,2ieme,24.419811,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,13.0,20.0,13.0,35.0,Oui,,,1,1.0,1.0,Senegal-2010,0.4,0.0
128_0,128,0,120,90,Nurse,Homme,45 or older,Oui,Oui,,,5 or less,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,24.419811,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,13.0,20.0,13.0,35.0,Oui,,,1,1.0,1.0,Senegal-2010,0.4,0.0
128_4,128,4,120,90,Other,0,35-44,0,Oui,,,5 or less,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,4.0,oui,Other,35-44,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,24.419811,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,13.0,20.0,13.0,35.0,Oui,,,1,1.0,1.0,Senegal-2010,0.4,0.0
128_3,128,3,120,90,Nurse,0,45 or older,0,0,12.0,,5 or less,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,3.0,0.0,Nurse,45 or older,Secondary,In the 1990s,0.0,Oui,0.0,Oui,2ieme,24.419811,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,13.0,20.0,13.0,35.0,Oui,,,1,1.0,1.0,Senegal-2010,0.4,0.0
128_2,128,2,120,90,Nurse,0,45 or older,0,Oui,,,5 or less,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,2.0,oui,Nurse,45 or older,Primary,In the 1990s,0.0,Oui,0.0,Oui,1ere,24.419811,120.0,91.0,10.0,34.0,90.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,13.0,20.0,13.0,35.0,Oui,,,1,1.0,1.0,Senegal-2010,0.4,0.0
129_1,129,1,145,73,Nurse,0,25-34,Oui,Oui,,,6-10,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Nurse,25-34,Post-Secondary,After 2000,2.0,Oui,0.0,Oui,1ere,40.5419,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,10.0,5.0,10.0,52.0,0.0,Absence approuvée,,1,1.0,1.0,Senegal-2010,0.33333334,0.5
129_2,129,2,145,73,Nurse,0,Younger than 25,Oui,0,12.0,,6-10,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,3.0,oui,Other,25-34,Secondary,After 2000,2.0,Oui,0.0,Oui,1ere,40.5419,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,10.0,5.0,10.0,52.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.5
129_4,129,4,145,73,Other,0,Younger than 25,0,Oui,,,6-10,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,5.0,0.0,Other,35-44,Secondary,In the 1990s,5.0,Oui,0.0,Oui,1ere,40.5419,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,10.0,5.0,10.0,52.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.5
129_6,129,6,145,73,Nurse,0,45 or older,0,0,12.0,,6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Senegal-2010,0.33333334,0.5
129_5,129,5,145,73,Other,Homme,35-44,0,0,Absence approuvée,,6-10,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,2.0,0.0,,,,,,,,,1ere,40.5419,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,10.0,5.0,10.0,52.0,0.0,12.0,,1,1.0,1.0,Senegal-2010,0.33333334,0.5
129_3,129,3,145,73,Other,0,25-34,Oui,Oui,,,6-10,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,4.0,oui,Other,Younger than 25,Secondary,After 2000,,,,,2ieme,40.5419,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,10.0,5.0,10.0,52.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.5
129_0,129,0,145,73,Nurse,Homme,45 or older,Oui,Oui,,,6-10,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,40.5419,145.0,31.0,6.0,23.0,73.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,10.0,5.0,10.0,52.0,0.0,99.0,Parti en ville,1,1.0,1.0,Senegal-2010,0.33333334,0.5
13_0,13,0,54,140,Other,Homme,45 or older,Oui,Oui,,,5 or less,54.0,51.0,4.0,16.0,140.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Other,45 or older,Primary,After 2000,,,,,1ere,11.746859,54.0,41.0,4.0,16.0,140.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,14.0,0.0,14.0,8.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
130_2,130,2,42,84,Nurse,0,35-44,0,Oui,,,5 or less,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Nurse,35-44,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,175.49661,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,14.0,30.0,14.0,40.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2,0.2
130_3,130,3,42,84,Other,Homme,25-34,Oui,0,Absence approuvée,,5 or less,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,3.0,0.0,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,175.49661,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,14.0,30.0,14.0,40.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2,0.2
130_4,130,4,42,84,Nurse,0,Younger than 25,0,Oui,,,5 or less,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,4.0,oui,Nurse,Younger than 25,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,175.49661,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,14.0,30.0,14.0,40.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2,0.2
130_1,130,1,42,84,Other,Homme,45 or older,0,Oui,,,5 or less,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Other,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,175.49661,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,14.0,30.0,14.0,40.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2,0.2
130_0,130,0,42,84,Nurse,Homme,25-34,Oui,Oui,,,5 or less,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,175.49661,42.0,62.0,9.0,30.0,84.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,14.0,30.0,14.0,40.0,0.0,En mission officielle,,1,1.0,1.0,Senegal-2010,0.2,0.2
131_1,131,1,37,87,Other,0,25-34,Oui,Oui,,,5 or less,37.0,41.0,9.0,31.0,87.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,10.011418,37.0,41.0,9.0,31.0,87.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,50.0,11.0,55.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.5
131_0,131,0,37,87,Nurse,Homme,45 or older,Oui,Oui,,,5 or less,37.0,41.0,9.0,31.0,87.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,10.011418,37.0,41.0,9.0,31.0,87.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,50.0,11.0,55.0,0.0,En formation,,1,1.0,1.0,Senegal-2010,0.0,0.5
132_0,132,0,59,59,Nurse,Homme,25-34,Oui,Oui,,,5 or less,59.0,41.0,5.0,17.0,59.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,35.591484,59.0,41.0,5.0,17.0,59.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,9.0,12.0,9.0,20.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
132_2,132,2,59,59,Other,Homme,45 or older,Oui,Oui,,,5 or less,59.0,41.0,5.0,17.0,59.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Other,45 or older,Post-Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,35.591484,59.0,41.0,5.0,17.0,59.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,9.0,12.0,9.0,20.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
132_1,132,1,59,59,Other,Homme,25-34,Oui,Oui,,,5 or less,59.0,41.0,5.0,17.0,59.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,35.591484,59.0,41.0,5.0,17.0,59.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,9.0,12.0,9.0,20.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
133_1,133,1,11,15,Nurse,0,35-44,Oui,0,En mission officielle,,5 or less,11.0,81.0,1.0,4.0,15.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,Oui,1.0,0.0,Nurse,35-44,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,16.261677,11.0,82.0,1.0,4.0,15.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,9.0,30.0,10.0,12.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.0
133_0,133,0,11,15,Other,0,45 or older,Oui,Oui,,,5 or less,11.0,81.0,1.0,4.0,15.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,45 or older,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,16.261677,11.0,82.0,1.0,4.0,15.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,9.0,30.0,10.0,12.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.0
133_2,133,2,11,15,Other,0,45 or older,0,Oui,,,5 or less,11.0,81.0,1.0,4.0,15.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,Oui,2.0,oui,Other,45 or older,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,16.261677,11.0,82.0,1.0,4.0,15.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,9.0,30.0,10.0,12.0,Oui,,,1,1.0,1.0,Senegal-2010,0.33333334,0.0
134_7,134,7,12,17,Other,0,25-34,0,Oui,,,6-10,12.0,21.0,1.0,4.0,17.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,7.0,oui,Other,25-34,Post-Secondary,After 2000,,,,,1ere,43.36447,12.0,22.0,1.0,4.0,17.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,Oui,,,1,1.0,1.0,Senegal-2010,0.375,0.25
134_4,134,4,12,17,Other,Homme,25-34,Oui,0,Absence approuvée,,6-10,12.0,21.0,1.0,4.0,17.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,4.0,0.0,Other,25-34,,,,,,,1ere,43.36447,12.0,22.0,1.0,4.0,17.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,0.0,En mission officielle,,1,1.0,1.0,Senegal-2010,0.375,0.25
134_3,134,3,12,17,Other,0,35-44,0,0,Congés maladie/maternité,,6-10,12.0,21.0,1.0,4.0,17.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,3.0,0.0,Other,35-44,,,,,,,1ere,43.36447,12.0,22.0,1.0,4.0,17.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,0.0,Congés maladie/maternité,,1,1.0,1.0,Senegal-2010,0.375,0.25
134_5,134,5,12,17,Other,0,35-44,Oui,Oui,,,6-10,12.0,21.0,1.0,4.0,17.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,5.0,oui,Other,35-44,Post-Secondary,After 2000,,,,,1ere,43.36447,12.0,22.0,1.0,4.0,17.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,Oui,,,1,1.0,1.0,Senegal-2010,0.375,0.25
134_0,134,0,12,17,Other,0,25-34,Oui,Oui,,,6-10,12.0,21.0,1.0,4.0,17.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Other,25-34,Post-Secondary,After 2000,,,,,1ere,43.36447,12.0,22.0,1.0,4.0,17.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,Oui,,,1,1.0,1.0,Senegal-2010,0.375,0.25
134_6,134,6,12,17,Other,0,25-34,Oui,Oui,,,6-10,12.0,21.0,1.0,4.0,17.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,6.0,oui,Other,25-34,Post-Secondary,After 2000,,,,,1ere,43.36447,12.0,22.0,1.0,4.0,17.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,Oui,,,1,1.0,1.0,Senegal-2010,0.375,0.25
134_1,134,1,12,17,Nurse,Homme,45 or older,Oui,0,Absence approuvée,,6-10,12.0,21.0,1.0,4.0,17.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,1.0,0.0,Nurse,45 or older,Post-Secondary,Before 1990,0.0,,0.0,,2ieme,43.36447,12.0,22.0,1.0,4.0,17.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,Oui,,,1,1.0,1.0,Senegal-2010,0.375,0.25
134_2,134,2,12,17,Other,0,45 or older,Oui,Oui,,,6-10,12.0,21.0,1.0,4.0,17.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Other,45 or older,Secondary,Before 1990,0.0,,0.0,Oui,1ere,43.36447,12.0,22.0,1.0,4.0,17.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,Oui,,,1,1.0,1.0,Senegal-2010,0.375,0.25
135_3,135,3,78,106,Other,Homme,45 or older,0,Oui,,,5 or less,78.0,32.0,7.0,24.0,106.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,3.0,oui,Other,45 or older,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,27.055801,78.0,32.0,7.0,24.0,106.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,10.0,20.0,10.0,50.0,Oui,,,1,1.0,1.0,Senegal-2010,0.25,0.25
135_0,135,0,78,106,Nurse,Homme,35-44,Oui,Oui,,,5 or less,78.0,32.0,7.0,24.0,106.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,35-44,Post-Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,27.055801,78.0,32.0,7.0,24.0,106.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,10.0,20.0,10.0,50.0,Oui,,,1,1.0,1.0,Senegal-2010,0.25,0.25
135_2,135,2,78,106,Nurse,0,35-44,0,Oui,,,5 or less,78.0,32.0,7.0,24.0,106.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Nurse,35-44,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,27.055801,78.0,32.0,7.0,24.0,106.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,10.0,20.0,10.0,50.0,Oui,,,1,1.0,1.0,Senegal-2010,0.25,0.25
135_1,135,1,78,106,Nurse,0,,0,Oui,,,5 or less,78.0,32.0,7.0,24.0,106.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,1.0,0.0,Nurse,,,,,,,,1ere,27.055801,78.0,32.0,7.0,24.0,106.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,10.0,20.0,10.0,50.0,0.0,12.0,,1,1.0,1.0,Senegal-2010,0.25,0.25
136_0,136,0,80,108,Nurse,0,25-34,Oui,Oui,,,5 or less,80.0,32.0,7.0,24.0,108.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,47.36547,80.0,32.0,7.0,24.0,108.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,30.0,13.0,35.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
136_1,136,1,80,108,Other,Homme,25-34,Oui,Oui,,,5 or less,80.0,32.0,7.0,24.0,108.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Other,25-34,Post-Secondary,After 2000,,,,,1ere,47.36547,80.0,32.0,7.0,24.0,108.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,30.0,13.0,35.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
136_2,136,2,80,108,Other,Homme,25-34,0,Oui,,,5 or less,80.0,32.0,7.0,24.0,108.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Other,25-34,Secondary,In the 1990s,Ne sait pas,Oui,Ne sait pas,Oui,1ere,47.36547,80.0,32.0,7.0,24.0,108.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,30.0,13.0,35.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
137_2,137,2,71,109,Nurse,0,25-34,0,Oui,,,5 or less,71.0,22.0,7.0,25.0,109.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Nurse,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,99.452705,71.0,22.0,7.0,25.0,109.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,8.0,38.0,9.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
137_1,137,1,71,109,Nurse,0,35-44,0,Oui,,,5 or less,71.0,22.0,7.0,25.0,109.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Nurse,35-44,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,99.452705,71.0,22.0,7.0,25.0,109.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,8.0,38.0,9.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
137_0,137,0,71,109,Nurse,Homme,25-34,Oui,Oui,,,5 or less,71.0,22.0,7.0,25.0,109.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,2.0,Oui,0.0,Oui,1ere,99.452705,71.0,22.0,7.0,25.0,109.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,8.0,38.0,9.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
