fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq6,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2saqobs,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq15,m2sbq17
184,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,25-34,Non,Formation/séminaire/réunion,,,,Collègue
184,2,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
185,1,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Primary,Diploma,Homme,25-34,Non,Formation/séminaire/réunion,,,,Collègue
185,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
186,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,25-34,Non,Formation/séminaire/réunion,,,,Collègue
186,2,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Primary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
187,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Primary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
188,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
189,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
189,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
189,3,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Other,Secondary,Advanced,Femme,25-34,Non,Absence autorisée (permission/congé),,,,Collègue
190,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,45 or older,Oui,,Traitement de dossiers/élaboration de rapports,Non,Before 1990,Individu
190,2,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Femme,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Primary,Diploma,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
191,1,6-10,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Certificate,Homme,25-34,Non,Maladie/maternité,,,,Autre (Préciser)
191,2,6-10,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Oui,non,,2.0,2.0,Other,Secondary,Certificate,Femme,25-34,Non,En grève,,,,Autre (Préciser)
192,1,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Primary,Diploma,Homme,45 or older,Oui,,Consultation/visite de malade,Non applicable,Before 1990,Individu
192,2,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Secondary,Advanced,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
193,1,6-10,5 or less,Over 5,Nurse,Secondary,Diploma,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Diploma,Homme,35-44,Oui,,Discussion avec collègues/réunion/Staff,Oui,After 2000,Individu
193,2,6-10,5 or less,Over 5,Other,Primary,Advanced,Homme,45 or older,Oui,Oui,,Oui,Oui,,2.0,2.0,-9.0,-9.0,-9.0,Homme,-9.0,Non,Absence autorisée (permission/congé),,,,Responsable
194,1,11-50,6-10,5 or less,Nurse,Secondary,Advanced,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,45 or older,Non,Formation/séminaire/réunion,,,,Collègue
194,2,11-50,6-10,5 or less,Nurse,Secondary,Certificate,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),Oui,non,,2.0,2.0,Nurse,Secondary,Advanced,Femme,45 or older,Oui,,Consultation/visite de malade,Non,Before 1990,Individu
194,3,11-50,6-10,5 or less,Nurse,Secondary,Certificate,Femme,45 or older,Oui,Oui,,Oui,Oui,,3.0,3.0,Other,Secondary,Advanced,Femme,45 or older,Oui,,Consultation/visite de malade,Non,Before 1990,Individu
194,4,11-50,6-10,5 or less,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Oui,,Oui,Oui,,4.0,4.0,Nurse,Secondary,Advanced,Femme,45 or older,Oui,,Traitement de dossiers/élaboration de rapports,Non,Before 1990,Individu
194,5,11-50,6-10,5 or less,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,5.0,5.0,Nurse,Secondary,Advanced,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
194,6,11-50,6-10,5 or less,Nurse,Primary,Diploma,Femme,35-44,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,6.0,6.0,Nurse,Primary,Diploma,Femme,35-44,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue
194,7,11-50,6-10,5 or less,Nurse,Secondary,Certificate,Femme,25-34,Oui,Oui,,Oui,Oui,,7.0,7.0,Nurse,Secondary,Certificate,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue
194,8,11-50,6-10,5 or less,Nurse,Primary,Diploma,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),Oui,non,,8.0,8.0,Nurse,Primary,Diploma,Femme,45 or older,Non,Absence autorisée (permission/congé),,,,Collègue
194,9,11-50,6-10,5 or less,Other,,,Homme,45 or older,Oui,Non,Absence autorisée (permission/congé),Oui,non,,9.0,9.0,Nurse,,-9.0,Homme,45 or older,Non,Absence autorisée (permission/congé),,,,Collègue
194,10,11-50,6-10,5 or less,Other,,,Femme,45 or older,Oui,Oui,,Oui,Oui,,10.0,10.0,Other,,-9.0,Femme,45 or older,Non,Mission officielle,,,,Collègue
195,1,11-50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Post-Secondary,Advanced,Femme,25-34,Non,Mission officielle,,,,Responsable
195,2,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
195,3,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),Oui,non,,7.0,3.0,Nurse,Primary,Diploma,Femme,45 or older,Oui,,Traitement de dossiers/élaboration de rapports,Non,In the 1990s,Individu
195,4,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,35-44,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,9.0,4.0,Nurse,Primary,Diploma,Femme,35-44,Non,Absence autorisée (permission/congé),,,,Responsable
195,5,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,45 or older,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,4.0,5.0,Nurse,Primary,Diploma,Femme,45 or older,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
195,6,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
195,7,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,45 or older,Oui,Non,Maladie/maternité,Non,non,,,,,,,,,,,,,,
195,8,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
195,9,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,45 or older,Oui,Oui,,Oui,Oui,,8.0,9.0,Nurse,Primary,Diploma,Femme,45 or older,Oui,,Consultation/visite de malade,Non,Before 1990,Individu
195,10,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Oui,,Oui,non,,6.0,10.0,Nurse,Secondary,Advanced,Femme,45 or older,Oui,,Traitement de dossiers/élaboration de rapports,Non,Before 1990,Individu
195,11,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
195,12,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,45 or older,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
195,13,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
195,14,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,5.0,14.0,Nurse,Secondary,Advanced,Femme,35-44,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
195,15,11-50,11-50,Over 5,Nurse,Primary,Certificate,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
195,16,11-50,11-50,Over 5,Other,Secondary,Advanced,Femme,35-44,Non,Oui,,Non,non,,,,,,,,,,,,,,
195,17,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Maladie/maternité,Non,non,,,,,,,,,,,,,,
195,18,11-50,11-50,Over 5,Other,Primary,Diploma,Homme,45 or older,Non,Oui,,Oui,non,,3.0,18.0,Other,Primary,Diploma,Homme,45 or older,Oui,,Discussion avec collègues/réunion/Staff,Oui,Before 1990,Individu
195,19,11-50,11-50,Over 5,Other,Secondary,None,Femme,45 or older,Non,Oui,,Oui,non,,11.0,19.0,Other,Secondary,None,Femme,45 or older,Non,Absence autorisée (permission/congé),,,,Responsable
195,20,11-50,11-50,Over 5,Other,Secondary,None,Femme,45 or older,Non,Oui,,Oui,non,,10.0,20.0,Other,Primary,None,Femme,45 or older,Oui,,Discussion avec collègues/réunion/Staff,Oui,In the 1990s,Individu
195,21,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),Oui,non,,2.0,21.0,Nurse,Secondary,Advanced,Femme,45 or older,Oui,,Traitement de dossiers/élaboration de rapports,Oui,In the 1990s,Individu
195,22,11-50,11-50,Over 5,Other,Secondary,None,Homme,35-44,Non,Oui,,Non,non,,,,,,,,,,,,,,
195,23,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
196,1,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,,Discussion avec collègues/réunion/Staff,Oui,In the 1990s,Individu
196,2,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,6.0,2.0,Nurse,Secondary,Advanced,Femme,35-44,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
196,3,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,7.0,3.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
196,4,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,10.0,4.0,Nurse,Secondary,Advanced,Femme,25-34,Non,Est allé retirer son salaire,,,,Responsable
196,5,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Maladie/maternité,Non,non,,,,,,,,,,,,,,
196,6,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,35-44,Oui,Non,Maladie/maternité,Non,non,,,,,,,,,,,,,,
196,7,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,2.0,7.0,Nurse,Secondary,Diploma,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
196,8,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,11.0,8.0,Nurse,Secondary,Diploma,Femme,25-34,Non,Maladie/maternité,,,,Responsable
196,9,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,Non,Absence autorisée (permission/congé),Oui,non,,5.0,9.0,Nurse,Post-Secondary,Advanced,Femme,35-44,Non,Absence autorisée (permission/congé),,,,Responsable
196,10,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,35-44,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
196,11,11-50,11-50,Over 5,Nurse,Primary,Advanced,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Oui,non,,3.0,11.0,Nurse,Primary,Diploma,Femme,25-34,Non,Absence autorisée (permission/congé),,,,Responsable
196,12,11-50,11-50,Over 5,Other,Primary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,4.0,12.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
196,13,11-50,11-50,Over 5,Other,Primary,Certificate,Femme,35-44,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,8.0,13.0,Other,Primary,Certificate,Femme,35-44,Non,Absence autorisée (permission/congé),,,,Responsable
196,14,11-50,11-50,Over 5,Other,Primary,Certificate,Femme,25-34,Oui,Non,Maladie/maternité,Oui,non,,9.0,14.0,Other,Primary,Certificate,Femme,25-34,Non,Absence autorisée (permission/congé),,,,Responsable
197,1,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Femme,25-34,Non,Absence autorisée (permission/congé),,,,Collègue
197,2,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Non,Maladie/maternité,Oui,non,,2.0,2.0,Nurse,Secondary,Advanced,Femme,35-44,Non,Maladie/maternité,,,,Individu
197,3,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),Oui,non,,3.0,3.0,Nurse,Secondary,Advanced,Femme,45 or older,Oui,,Consultation/visite de malade,Non,Before 1990,Individu
197,4,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,4.0,4.0,Nurse,Secondary,Advanced,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
197,5,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Non,Maladie/maternité,Oui,non,,5.0,5.0,Nurse,Secondary,Advanced,Femme,35-44,Non,Absence autorisée (permission/congé),,,,Collègue
197,6,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,6.0,6.0,Nurse,Primary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
197,7,11-50,11-50,Over 5,Other,Secondary,Advanced,Femme,35-44,Oui,Non,Absence autorisée (permission/congé),Oui,non,,8.0,7.0,Other,Secondary,Advanced,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
197,8,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,45 or older,Oui,Oui,,Oui,Oui,,7.0,8.0,Nurse,Primary,Diploma,Femme,45 or older,Non,Absence autorisée (permission/congé),,,,Collègue
197,9,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Oui,non,,10.0,9.0,Nurse,Secondary,Advanced,Femme,25-34,Non,Absence autorisée (permission/congé),,,,Collègue
197,10,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,9.0,10.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
197,11,11-50,11-50,Over 5,Other,Secondary,Advanced,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,11.0,11.0,Other,Secondary,Advanced,Femme,Younger than 25,Oui,,Consultation/visite de malade,Non,After 2000,Individu
198,1,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Femme,45 or older,Oui,,Traitement de dossiers/élaboration de rapports,Non,Before 1990,Individu
198,2,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,35-44,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,2.0,2.0,Nurse,Primary,Diploma,Femme,35-44,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
198,3,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Secondary,Advanced,Femme,45 or older,Oui,,Traitement de dossiers/élaboration de rapports,Non,In the 1990s,Individu
198,4,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Non,Maladie/maternité,Oui,non,,4.0,4.0,Nurse,Secondary,Advanced,Femme,35-44,Non,Maladie/maternité,,,,Responsable
198,5,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,5.0,5.0,Nurse,Secondary,Advanced,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
198,6,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,6.0,6.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
198,7,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Oui,non,,7.0,7.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
198,8,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,8.0,8.0,Nurse,Secondary,Advanced,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
198,9,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,9.0,9.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
198,10,11-50,11-50,Over 5,Nurse,Primary,Diploma,Femme,35-44,Oui,Oui,,Oui,Oui,,10.0,10.0,Nurse,Primary,Diploma,Femme,35-44,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
198,11,11-50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,11.0,11.0,Nurse,Secondary,Advanced,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
199,1,6-10,6-10,5 or less,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
199,2,6-10,6-10,5 or less,Nurse,Secondary,Certificate,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),Oui,non,,2.0,2.0,Nurse,Secondary,Certificate,Femme,45 or older,Non,Absence autorisée (permission/congé),,,,Individu
199,3,6-10,6-10,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
199,4,6-10,6-10,5 or less,Nurse,Secondary,Certificate,Femme,25-34,Oui,Oui,,Oui,Oui,,4.0,4.0,Nurse,Secondary,Certificate,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Individu
199,5,6-10,6-10,5 or less,Nurse,Secondary,Certificate,Femme,25-34,Oui,Oui,,Oui,Oui,,5.0,5.0,Nurse,Secondary,Certificate,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
199,6,6-10,6-10,5 or less,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,6.0,6.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
200,1,6-10,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Non,Formation/séminaire/réunion,Oui,non,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
200,2,6-10,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
200,3,6-10,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
201,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
201,2,5 or less,5 or less,5 or less,Other,Post-Secondary,Advanced,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Post-Secondary,Advanced,Femme,Younger than 25,Oui,,Traitement de dossiers/élaboration de rapports,Non,After 2000,Individu
201,3,5 or less,5 or less,5 or less,Other,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Other,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
202,1,11-50,5 or less,Over 5,Nurse,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
202,2,11-50,5 or less,Over 5,Other,Secondary,Advanced,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Femme,Younger than 25,Oui,,Consultation/visite de malade,Non,After 2000,Individu
203,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Diploma,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Diploma,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
203,2,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Diploma,Homme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Post-Secondary,Diploma,Homme,25-34,Non,Est allé retirer son salaire,,,,Responsable
203,3,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,Est allé retirer son salaire,,,,Responsable
204,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
204,2,5 or less,5 or less,5 or less,Other,Post-Secondary,Advanced,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Post-Secondary,Advanced,Femme,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
204,3,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
205,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,45 or older,Oui,,Consultation/visite de malade,Non,Before 1990,Individu
205,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
206,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
206,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
207,1,6-10,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Diploma,Femme,35-44,Non,Formation/séminaire/réunion,,,,Individu
207,2,6-10,5 or less,5 or less,Other,Secondary,Diploma,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Oui,non,,2.0,2.0,Other,Secondary,Diploma,Femme,25-34,Oui,,Autre,Non,After 2000,Individu
208,1,6-10,5 or less,5 or less,Nurse,Primary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Primary,Certificate,Homme,25-34,Non,Formation/séminaire/réunion,,,,Autre (Préciser)
208,2,6-10,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Femme,25-34,Oui,,Autre,Non,After 2000,Individu
209,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,25-34,Non,Formation/séminaire/réunion,,,,Autre (Préciser)
209,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
210,1,5 or less,5 or less,5 or less,Nurse,Primary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Primary,Certificate,Homme,25-34,Non,Est allé retirer son salaire,,,,Autre (Préciser)
