fac_id,h1csqa1,h1csqa2a,h1csqa2b,h1csqa2c,h1csqb1,h1csqb2,h1csqb4,h1csqb5,h1csqb9,h1csqb12,h1csqb13H,h1csqb13M,h1csqb14H,h1csqb14M,h1csqb16,h1csqb17,h1sa5,h1sa9,h1sa17,h1sa18,h1sa19,h1sa20,h1sa21,h1sa22,h1sa26,h1sa31,h1sb50,h1sb51,h1sb52,h1sb53,h1sb54,h1sb59a,h1sc59b,h1sc60a,h1sc60b,h1sc61a,h1sc61b,h1sc62a,h1sc62b,h1sc63a,h1sc63b,h1sc64a,h1sc64b,h1sc65a,h1sc65b,h1sc66a,h1sc66b,h1sc67a,h1sc67b,h1sc68a,h1sc68b,h1sc69a,h1sc69b,h1sc70a,h1sc70b,h1sc71a,h1sc71b,h1sc72a,h1sc72b,h1sc73a,h1sc73b,h1sc74a,h1sc74b,h1sc75a,h1sc75b,h1sd76,h1sd77,h1sd78,h1sd79,h1sd80,h1sd81,h1sd82,h1sd83,h1sd84,h1sd85,h1sd86,h1sd87,h1sd88,h1sd89,h1sd90,h1sd91,h1sd92,h1sd93,h1sd94,h1sd95,h1sd96,h1sd97,h1sd98,h1sd99,h1sd100,h1sd101,h1sd102,h1sd103,h1sd104,h1sd105,h1sd106,h1sd107,h1sd108,h1sd109,h1sd110,h1sd111,h1sd112,h1sd113,h1sd114,h1sd115,h1sd116,h1sd117,h1sd118,h1sd119,h1sd120,h1sd121,h1sd122,h1sd123,h1sd124,h2sa200,h2sa201,h1csqb6
231,Yes,,,,5,404,2,4,Rural,201,12.0,25.0,13.0,25.0,201.0,,Public,Health Post,No,No,Yes,No,No,No,Over 50,2001-3000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (not observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,Yes,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,152.0
232,Yes,,,,5,404,2,6,Rural,201,15.0,20.0,16.0,44.0,203.0,,Public,Health Post,No,No,No,No,No,No,Over 50,2001-3000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Never available,Never available,Not available today,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,Not available today,Not available today,Not available today,Not available today,Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed","Yes,observed",5 or less,5 or less,64.0
233,Yes,,,,5,404,2,6,Rural,201,8.0,50.0,10.0,55.0,201.0,,Public,Health Center,Yes,No,Yes,No,Yes,No,50 or less,1001-2000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,No,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,6-10,5 or less,80.0
234,Yes,,,,5,404,2,6,Rural,201,12.0,20.0,14.0,15.0,203.0,,Public,Health Center,No,No,No,No,No,No,50 or less,2001-3000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (BUT expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,Yes,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,6-10,5 or less,257.0
235,Yes,,,,5,404,2,7,Rural,201,12.0,50.0,14.0,30.0,203.0,,Private,Health Post,Yes,No,Yes,No,No,No,50 or less,0-500,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (not observed),No,,Never available,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Not recommended at this level,Not available today,Never available,Never available,Never available,Not recommended at this level,At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Never available,Never available,Not available today,At least one observed (AND non-expired),No,,,,,Not available today,Not available today,Not available today,Not available today,Not available today,"Yes,observed","Yes,observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,No,No,5 or less,5 or less,154.0
236,Yes,,,,5,404,2,8,Rural,201,9.0,45.0,11.0,45.0,201.0,,Private,Health Post,Yes,No,Yes,No,No,No,50 or less,0-500,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),No,Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (not observed),Yes (observed),Yes (observed),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Not available today,Not available today,At least one observed (AND non-expired),Never available,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),No,,,,,Not available today,Not available today,Not available today,Not available today,Not available today,"Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed",No,No,No,No,No,5 or less,5 or less,239.0
237,Yes,,,,5,404,2,8,Rural,203,8.0,30.0,10.0,0.0,202.0,,Public,Health Post,Yes,Yes,Yes,No,No,No,50 or less,1001-2000,No,No,No,No,No,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),No,No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (not observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not available today,Not recommended at this level,Not available today,Never available,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Not recommended at this level,Never available,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),Not available today,Not available today,Not available today,Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,No,No,5 or less,5 or less,329.0
238,Yes,,,,5,404,2,9,Rural,201,11.0,33.0,13.0,25.0,201.0,,Public,Health Post,Yes,Yes,Yes,No,No,No,50 or less,2001-3000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),No,No,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Not available today,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,No,No,No,No,5 or less,5 or less,201.0
239,Yes,,,,5,404,2,9,Rural,201,8.0,51.0,11.0,8.0,201.0,,Private,Health Post,Yes,Yes,Yes,No,Yes,No,50 or less,501-1000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (not observed),No,,No,,No,,No,,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,No,No,5 or less,5 or less,334.0
240,Yes,,,,5,404,3,1,Rural,201,8.0,35.0,10.0,20.0,201.0,,Public,Health Post,Yes,No,Yes,No,No,No,50 or less,2001-3000,No,No,No,No,No,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (not observed),Yes (observed),No,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),No,,,,,Not available today,Not available today,Not available today,Not available today,Never available,"Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,No,5 or less,5 or less,117.0
241,Yes,,,,5,404,3,1,Rural,201,11.0,30.0,13.0,20.0,203.0,,Public,Health Post,Yes,No,Yes,No,No,No,50 or less,2001-3000,No,No,No,Yes,No,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (not observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Not available today,Never available,Never available,Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (BUT expired),"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,"Yes,observed",No,5 or less,5 or less,279.0
242,Yes,,,,5,404,3,2,Rural,201,13.0,50.0,15.0,6.0,203.0,,Public,Health Post,Yes,Yes,Yes,No,No,No,50 or less,2001-3000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Never available,Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,120.0
243,Yes,,,,5,404,3,2,Rural,202,10.0,5.0,12.0,0.0,201.0,,Public,Health Post,Yes,Yes,No,No,No,No,50 or less,1001-2000,No,No,No,Yes,No,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Never available,Not recommended at this level,Never available,Not recommended at this level,Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Never available,Not available today,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Not available today,No,,,,,At least one observed (AND non-expired),Not available today,Not available today,Not available today,Never available,"Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,142.0
244,Yes,,,,5,404,3,3,Rural,203,14.0,20.0,15.0,30.0,201.0,,Public,Health Post,No,No,Yes,No,No,No,Over 50,0-500,No,No,No,No,No,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (not observed),No,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,Never available,Not recommended at this level,Never available,Never available,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,Not recommended at this level,Never available,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,340.0
245,Yes,,,,5,404,3,5,Rural,201,16.0,35.0,17.0,50.0,201.0,,Public,Health Post,No,No,No,No,No,No,Over 50,1001-2000,No,No,No,No,No,Yes (observed),No,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (not observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Not available today,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),No,,,,,Not available today,Not available today,Not available today,Not available today,Never available,"Yes,observed","Yes,observed",No,"Yes,observed",No,"Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,
246,Yes,,,,5,404,3,5,Rural,201,9.0,20.0,11.0,45.0,201.0,,Private,Health Center,Yes,Yes,Yes,No,Yes,No,Over 50,501-1000,No,No,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,No,,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,No,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,No,No,6-10,Over 5,
247,Yes,,,,5,404,3,5,Rural,201,9.0,45.0,11.0,5.0,201.0,,Public,Health Post,No,No,No,No,No,No,Over 50,1001-2000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),Never available,Never available,Not available today,Not recommended at this level,Never available,Not recommended at this level,Never available,Never available,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not available today,At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Never available,Not recommended at this level,Available BUT not observed (non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,141.0
248,Yes,,,,5,404,3,5,Rural,201,14.0,50.0,16.0,30.0,201.0,,Public,Health Center,Yes,Yes,Yes,No,Yes,No,Over 50,2001-3000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not recommended at this level,Not available today,At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),No,,,,,Not available today,Not available today,Not available today,Not available today,Never available,"Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,6-10,5 or less,199.0
249,Yes,,,,5,404,3,6,Rural,201,16.0,50.0,18.0,20.0,201.0,,Private,Health Post,Yes,Yes,Yes,No,No,No,50 or less,501-1000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,No,,No,,Yes (observed),Yes (not observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Not available today,Never available,Not available today,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,
250,Yes,,,,5,404,3,6,Rural,201,15.0,30.0,16.0,35.0,201.0,,Public,Health Post,Yes,No,No,No,No,No,50 or less,2001-3000,No,No,No,No,No,Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (not observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,102.0
251,Yes,,,,5,404,3,6,Rural,201,16.0,30.0,18.0,0.0,203.0,,Private,Health Center,Yes,No,Yes,No,Yes,No,Over 50,501-1000,No,Yes,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Not available today,Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,6-10,5 or less,135.0
